"audience_id","product_id","audience_type","audience_name","description","source_id"
"sap_btp_audience_ai_engineer","sap_btp","professional","Engenheiros de IA","Desenvolvem agentes, RAG e integrações com modelos.","sap_source_046"
"sap_btp_audience_business_analyst","sap_btp","professional","Analistas de negócio","Modelam processos e agentes low-code com ferramentas visuais.","sap_source_046"
"sap_btp_audience_security","sap_btp","business_area","Segurança e IAM","Configura identidades, confiança, autorizações e recomendações.","sap_source_043"
"sap_btp_audience_business_user","sap_btp","role","Usuários de negócio","Consomem aplicações e serviços implantados no SAP BTP.","sap_source_037"
"sap_s4hana_audience_001_cio_e_lideranca_de_transformacao","sap_s4hana","Executive","CIO e liderança de transformação","Responsáveis pela estratégia ERP e modernização do core.","sap_source_054"
"sap_s4hana_audience_002_cfo_e_lideranca_financeira","sap_s4hana","Executive","CFO e liderança financeira","Patrocinam transformação financeira, controle e analytics.","sap_source_054"
"sap_s4hana_audience_003_gestores_de_supply_chain_e_operacoes","sap_s4hana","Business","Gestores de supply chain e operações","Conduzem planejamento, logística, estoque e execução.","sap_source_054"
"sap_s4hana_audience_004_compradores_e_gestores_de_procurement","sap_s4hana","Business","Compradores e gestores de procurement","Executam e governam processos de aquisição.","sap_source_065"
"sap_s4hana_audience_005_equipes_de_vendas_e_atendimento","sap_s4hana","Business","Equipes de vendas e atendimento","Operam pedidos, contratos, entregas e serviços.","sap_source_066"
"sap_s4hana_audience_006_planejadores_e_gestores_de_manufatura","sap_s4hana","Business","Planejadores e gestores de manufatura","Planejam materiais, capacidade e produção.","sap_source_067"
"sap_s4hana_audience_007_arquitetos_de_solucao","sap_s4hana","Technical","Arquitetos de solução","Definem edição, landscape, integração e extensibilidade.","sap_source_057"
"sap_s4hana_audience_008_consultores_funcionais_sap","sap_s4hana","Technical","Consultores funcionais SAP","Configuram processos e orientam adoção.","sap_source_059"
"sap_s4hana_audience_009_desenvolvedores_abap_e_btp","sap_s4hana","Technical","Desenvolvedores ABAP e BTP","Criam extensões, APIs e integrações clean core.","sap_source_060"
"sap_s4hana_audience_010_administradores_e_equipes_de_seguranca","sap_s4hana","Technical","Administradores e equipes de segurança","Gerenciam identidade, acesso, operações e proteção.","sap_source_063"
"sap_successfactors_audience_001_item","sap_successfactors","Executive","CHRO","Lidera estratégia e transformação de pessoas","sap_source_080"
"sap_successfactors_audience_002_item","sap_successfactors","Business","HR business partners","Apoiam gestores e decisões de pessoas","sap_source_080"
"sap_successfactors_audience_003_item","sap_successfactors","Business","HR administrators","Mantêm dados e processos de RH","sap_source_083"
"sap_successfactors_audience_004_item","sap_successfactors","Business","Payroll teams","Executam e validam folha","sap_source_084"
"sap_successfactors_audience_005_item","sap_successfactors","Business","Recruiters","Gerenciam atração e seleção","sap_source_085"
"sap_successfactors_audience_006_item","sap_successfactors","Business","Managers","Gerem metas, desempenho e equipe","sap_source_087"
"sap_successfactors_audience_007_item","sap_successfactors","End user","Employees","Usam autoatendimento, aprendizagem e carreira","sap_source_080"
"sap_successfactors_audience_008_item","sap_successfactors","Business","L&D teams","Administram aprendizagem e desenvolvimento","sap_source_089"
"sap_successfactors_audience_009_item","sap_successfactors","Business","People analysts","Criam insights e planejamento","sap_source_091"
"sap_successfactors_audience_010_item","sap_successfactors","Technical","System administrators","Configuram plataforma, permissões e integrações","sap_source_093"
"sap_ariba_audience_001_item","sap_ariba","Executive","Chief Procurement Officer","Lidera estratégia e transformação de compras","sap_source_100"
"sap_ariba_audience_002_item","sap_ariba","Business","Category managers","Gerenciam categorias e sourcing","sap_source_102"
"sap_ariba_audience_003_item","sap_ariba","Business","Buyers","Executam compras e pedidos","sap_source_105"
"sap_ariba_audience_004_item","sap_ariba","End user","Casual users","Compram bens e serviços por guided buying","sap_source_105"
"sap_ariba_audience_005_item","sap_ariba","Business","Supplier managers","Qualificam e monitoram fornecedores","sap_source_104"
"sap_ariba_audience_006_item","sap_ariba","Business","Accounts payable","Processam e reconciliam faturas","sap_source_107"
"sap_ariba_audience_007_item","sap_ariba","External","Suppliers","Recebem pedidos, colaboram e faturam","sap_source_101"
"sap_ariba_audience_008_item","sap_ariba","Technical","Administrators and integration teams","Configuram sites, segurança e integrações","sap_source_110"
"sap_datasphere_audience_001_item","sap_datasphere","Executive","Chief Data Officer","Define estratégia, governança e valor de dados","sap_source_115"
"sap_datasphere_audience_002_item","sap_datasphere","Technical","Data architects","Desenham arquitetura de data fabric e integração","sap_source_116"
"sap_datasphere_audience_003_item","sap_datasphere","Technical","Data engineers","Criam conexões, fluxos e persistência","sap_source_117"
"sap_datasphere_audience_004_item","sap_datasphere","Technical","Data modelers","Constroem modelos semânticos e analíticos","sap_source_115"
"sap_datasphere_audience_005_item","sap_datasphere","Business","Data stewards","Governam catálogo, metadados e qualidade","sap_source_116"
"sap_datasphere_audience_006_item","sap_datasphere","Business","Business analysts","Consomem modelos e dados para análises","sap_source_125"
"sap_datasphere_audience_007_item","sap_datasphere","Technical","SAP BW specialists","Modernizam cenários BW","sap_source_127"
"sap_datasphere_audience_008_item","sap_datasphere","Technical","AI and analytics teams","Usam dados contextuais para analytics e IA","sap_source_115"
"sap_analytics_cloud_audience_001_item","sap_analytics_cloud","Executive","CFO and finance leaders","Usam planejamento e analytics financeiro.","sap_source_131"
"sap_analytics_cloud_audience_002_item","sap_analytics_cloud","Executive","Business executives","Acompanham KPIs e cenários.","sap_source_131"
"sap_analytics_cloud_audience_003_item","sap_analytics_cloud","Business","Business analysts","Criam stories, relatórios e análises.","sap_source_132"
"sap_analytics_cloud_audience_004_item","sap_analytics_cloud","Business","Planners","Executam orçamento, forecast e simulações.","sap_source_133"
"sap_analytics_cloud_audience_005_item","sap_analytics_cloud","Technical","Data analysts","Modelam dados e usam analytics avançado.","sap_source_132"
"sap_analytics_cloud_audience_006_item","sap_analytics_cloud","Technical","Analytics developers","Criam aplicações no Analytics Designer.","sap_source_134"
"sap_analytics_cloud_audience_007_item","sap_analytics_cloud","Technical","IT administrators","Configuram tenants, segurança e conexões.","sap_source_143"
"sap_analytics_cloud_audience_008_item","sap_analytics_cloud","End user","Mobile users","Consomem analytics em dispositivos móveis.","sap_source_137"
"sap_signavio_audience_001_item","sap_signavio","Executive","Chief Transformation Officer","Patrocina transformação empresarial.","sap_source_149"
"sap_signavio_audience_002_item","sap_signavio","Business","Process owners","Modelam, gerem e melhoram processos.","sap_source_150"
"sap_signavio_audience_003_item","sap_signavio","Business","Business process analysts","Analisam desempenho e oportunidades.","sap_source_151"
"sap_signavio_audience_004_item","sap_signavio","Technical","Enterprise architects","Relacionam processos e arquitetura.","sap_source_149"
"sap_signavio_audience_005_item","sap_signavio","Technical","IT transformation teams","Usam processos em programas de ERP e BTP.","sap_source_149"
"sap_signavio_audience_006_item","sap_signavio","Business","Continuous improvement teams","Conduzem melhoria baseada em métricas.","sap_source_151"
"sap_signavio_audience_007_item","sap_signavio","Business","Change managers","Apoiam comunicação e adoção.","sap_source_149"
"sap_signavio_audience_008_item","sap_signavio","End user","Business users","Consultam processos e colaboram no Hub.","sap_source_149"
"sap_business_network_audience_001_item","sap_business_network","Business","Procurement leaders","Gerenciam compras e relacionamento com fornecedores.","sap_source_160"
"sap_business_network_audience_002_item","sap_business_network","Partner","Suppliers","Respondem a pedidos, entregas, faturas e oportunidades.","sap_source_163"
"sap_business_network_audience_003_item","sap_business_network","Business","Supply chain planners","Colaboram em forecast, pedidos e exceções.","sap_source_164"
"sap_business_network_audience_004_item","sap_business_network","Partner","Logistics providers","Compartilham eventos e executam transporte.","sap_source_165"
"sap_business_network_audience_005_item","sap_business_network","Business","Asset operators","Coordenam ativos, manutenção e prestadores.","sap_source_161"
"sap_business_network_audience_006_item","sap_business_network","Business","Finance and compliance teams","Acompanham faturamento eletrônico e requisitos regulatórios.","sap_source_160"
"sap_business_network_audience_007_item","sap_business_network","Technical","IT integration teams","Integram SAP e sistemas de terceiros.","sap_source_171"
"sap_build_audience_001_item","sap_build","Business","Citizen developers","Criam apps e automações com ferramentas visuais.","sap_source_174"
"sap_build_audience_002_item","sap_build","Technical","Professional developers","Desenvolvem extensões com CAP, UI5, ABAP e linguagens suportadas.","sap_source_177"
"sap_build_audience_003_item","sap_build","Business","Process owners","Modelam e governam workflows.","sap_source_175"
"sap_build_audience_004_item","sap_build","Technical","Workspace administrators","Publicam conteúdo e administram experiências digitais.","sap_source_176"
"sap_build_audience_005_item","sap_build","Technical","AI developers","Criam agentes e skills no Joule Studio.","sap_source_182"
"sap_build_audience_006_item","sap_build","Technical","IT architects","Definem governança, integração e arquitetura.","sap_source_178"
