"security_item_id","product_id","security_category","item_name","description","source_id","last_verified_at"
"sap_datasphere_security_003_item","sap_datasphere","Data governance","Catalog and metadata","Metadados e catálogo apoiam entendimento e controle de ativos.","sap_source_116","2026-08-19"
"sap_datasphere_security_004_item","sap_datasphere","Connectivity","Connection configuration","Conexões devem ser configuradas para fontes e credenciais suportadas.","sap_source_118","2026-08-19"
"sap_datasphere_security_005_item","sap_datasphere","Operational security","Monitoring","Administração monitora capacidades e operações.","sap_source_121","2026-08-19"
"sap_datasphere_security_006_item","sap_datasphere","Compliance","SAP Trust Center","Certificações devem ser verificadas por serviço e região.","sap_source_126","2026-08-19"
"sap_analytics_cloud_security_001_item","sap_analytics_cloud","Authorization","Roles and permissions","Papéis controlam acesso a conteúdo, modelos e atividades.","sap_source_143","2026-08-19"
"sap_analytics_cloud_security_002_item","sap_analytics_cloud","Identity","Authentication and SSO","Integração de autenticação é configurada conforme tenant e fontes.","sap_source_143","2026-08-19"
"sap_analytics_cloud_security_003_item","sap_analytics_cloud","Data access","Live connection security","Dados em live connection permanecem na origem e seguem controles aplicáveis.","sap_source_135","2026-08-19"
"sap_analytics_cloud_security_004_item","sap_analytics_cloud","Administration","Tenant configuration","Administração gerencia usuários, conexões e opções de tenant.","sap_source_143","2026-08-19"
"sap_analytics_cloud_security_005_item","sap_analytics_cloud","Mobile security","Mobile administration","Aplicativos móveis requerem provisionamento e autenticação.","sap_source_137","2026-08-19"
"sap_analytics_cloud_security_006_item","sap_analytics_cloud","Compliance","SAP Trust Center","Certificações devem ser verificadas por serviço e região.","sap_source_131","2026-08-19"
"sap_signavio_security_001_item","sap_signavio","Authorization","Workspace administration","A administração de workspace controla acesso e conteúdo.","sap_source_149","2026-08-19"
"sap_signavio_security_002_item","sap_signavio","Data protection","Process data handling","Dados de evento e processo exigem governança adequada.","sap_source_151","2026-08-19"
"sap_signavio_security_003_item","sap_signavio","Collaboration","Content access","Hub e Manager compartilham conteúdo conforme permissões.","sap_source_150","2026-08-19"
"sap_signavio_security_004_item","sap_signavio","Auditability","Process governance workflows","Workflows e aprovações apoiam rastreabilidade.","sap_source_149","2026-08-19"
"sap_signavio_security_005_item","sap_signavio","Identity","SAP cloud identity configuration","Autenticação e identidade seguem configuração de tenant.","sap_source_156","2026-08-19"
"sap_signavio_security_006_item","sap_signavio","Compliance","SAP Trust Center","Certificações devem ser verificadas por serviço e região.","sap_source_149","2026-08-19"
"sap_business_network_security_001_item","sap_business_network","Access control","Partner and user access","Acesso a dados e relacionamentos depende de papéis e configuração.","sap_source_163","2026-08-19"
"sap_business_network_security_002_item","sap_business_network","Data protection","Transaction and partner data","Dados de parceiros e transações exigem governança.","sap_source_160","2026-08-19"
"sap_business_network_security_003_item","sap_business_network","Compliance","Regulatory documentation","Regras e documentos apoiam compliance interno e externo.","sap_source_160","2026-08-19"
"sap_business_network_security_004_item","sap_business_network","Auditability","Business documents","Documentos transacionais permitem rastreabilidade do processo.","sap_source_163","2026-08-19"
"sap_business_network_security_005_item","sap_business_network","Identity","SAP cloud identity","Autenticação segue configuração do ambiente SAP cloud.","sap_source_166","2026-08-19"
"sap_business_network_security_006_item","sap_business_network","Trust Center","Service certifications","Certificações devem ser verificadas por serviço e região.","sap_source_160","2026-08-19"
"sap_build_security_001_item","sap_build","Role governance","Roles and authorizations","Papéis e governança controlam criação, publicação e uso.","sap_source_178","2026-08-19"
"sap_build_security_002_item","sap_build","Identity","SAP cloud identity","Autenticação e provisionamento seguem ambiente SAP.","sap_source_178","2026-08-19"
"sap_build_security_003_item","sap_build","Data protection","Business data context","Apps, processos e agentes devem respeitar governança de dados.","sap_source_178","2026-08-19"
"sap_build_security_004_item","sap_build","Secure extension","Clean core","Extensões side-by-side reduzem alteração direta do core.","sap_source_177","2026-08-19"
"sap_build_security_005_item","sap_build","AI terms","SAP AI Terms","Ativação de Joule exige aceitação de termos aplicáveis.","sap_source_183","2026-08-19"
"sap_build_security_006_item","sap_build","Auditability","Process monitoring","Monitoramento e histórico apoiam rastreabilidade de automações.","sap_source_175","2026-08-19"
