"differentiation_id","product_id","compared_sap_product","compared_product_id","differentiation_description","source_id"
"sap_datasphere_diff_001_item","sap_datasphere","SAP Business Data Cloud","","Datasphere é a tecnologia de integração, semântica e modelagem; Business Data Cloud é a oferta unificada de dados, analytics e IA.","sap_source_115"
"sap_datasphere_diff_002_item","sap_datasphere","SAP Data Warehouse Cloud","","Datasphere é a evolução do Data Warehouse Cloud e reúne capacidades adicionais de integração, catálogo e semântica.","sap_source_116"
"sap_datasphere_diff_003_item","sap_datasphere","SAP Analytics Cloud","","Datasphere prepara, governa e modela dados; Analytics Cloud entrega BI, visualização e planejamento.","sap_source_125"
"sap_datasphere_diff_004_item","sap_datasphere","SAP HANA Cloud","","Datasphere é serviço de gestão e semântica de dados; HANA Cloud é serviço de banco de dados.","sap_source_126"
"sap_datasphere_diff_005_item","sap_datasphere","SAP BTP","sap_btp","Datasphere é serviço de dados dentro do ecossistema de plataforma; BTP abrange desenvolvimento, integração, automação, dados e IA.","sap_source_117"
"sap_analytics_cloud_diff_001_item","sap_analytics_cloud","SAP Datasphere","sap_datasphere","Datasphere integra, modela e governa dados; SAC visualiza, analisa e planeja sobre esses dados.","sap_source_139"
"sap_analytics_cloud_diff_002_item","sap_analytics_cloud","SAP Business Data Cloud","","SAC é uma solução componente de analytics e planejamento; BDC é a oferta completa de dados, analytics e IA.","sap_source_140"
"sap_analytics_cloud_diff_003_item","sap_analytics_cloud","SAP HANA Cloud","","SAC é camada analítica e de planejamento; HANA Cloud é banco de dados e plataforma de dados.","sap_source_135"
"sap_analytics_cloud_diff_004_item","sap_analytics_cloud","SAP Business Planning and Consolidation","","SAC é a solução cloud atual para analytics e planejamento, com recursos de migração de BPC.","sap_source_148"
"sap_analytics_cloud_diff_005_item","sap_analytics_cloud","SAP BTP","sap_btp","SAC é aplicação de analytics no ecossistema BTP; BTP cobre plataforma, integração, dados, IA e desenvolvimento.","sap_source_132"
"sap_signavio_diff_001_item","sap_signavio","SAP LeanIX","","Signavio modela e melhora processos; LeanIX gerencia arquitetura e portfólio de aplicações.","sap_source_149"
"sap_signavio_diff_002_item","sap_signavio","WalkMe","","Signavio entende e desenha processos; WalkMe orienta usuários durante adoção de software.","sap_source_149"
"sap_signavio_diff_003_item","sap_signavio","SAP Build Process Automation","","Signavio analisa e modela processos; Build Process Automation executa automações de processo.","sap_source_149"
"sap_signavio_diff_004_item","sap_signavio","SAP S/4HANA","sap_s4hana","Signavio é suíte de transformação; S/4HANA é ERP transacional.","sap_source_149"
"sap_signavio_diff_005_item","sap_signavio","SAP BTP","sap_btp","Signavio é aplicação de gestão de processos; BTP é plataforma tecnológica para desenvolvimento, integração e automação.","sap_source_149"
"sap_business_network_diff_001_item","sap_business_network","SAP Ariba","","Ariba é portfólio de spend/procurement; Business Network é a rede multiempresa que conecta parceiros e transações.","sap_source_162"
"sap_business_network_diff_002_item","sap_business_network","SAP S/4HANA","sap_s4hana","S/4HANA é ERP; Business Network conecta o ERP a parceiros externos.","sap_source_166"
"sap_business_network_diff_003_item","sap_business_network","SAP BTP","sap_btp","BTP é plataforma tecnológica; Business Network é oferta de colaboração de negócio.","sap_source_171"
"sap_business_network_diff_004_item","sap_business_network","SAP Supply Chain Management","","SCM gerencia processos da cadeia; Business Network estende colaboração entre empresas.","sap_source_172"
"sap_business_network_diff_005_item","sap_business_network","SAP Business Network vs Ariba Network","","Ariba Network é nome anterior da rede de procurement, enquanto SAP Business Network é o nome atual e portfólio mais amplo.","sap_source_162"
"sap_build_diff_001_item","sap_build","SAP Build vs SAP BTP","sap_btp","Build é a oferta de desenvolvimento e automação; BTP é a plataforma ampla que fornece runtime, integração, dados e serviços.","sap_source_173"
"sap_build_diff_002_item","sap_build","SAP Build vs SAP Signavio","sap_signavio","Build cria e automatiza soluções; Signavio modela, analisa e transforma processos.","sap_source_175"
"sap_build_diff_003_item","sap_build","SAP Build vs SAP Business Network","sap_business_network","Build desenvolve e automatiza; Business Network conecta organizações e transações B2B.","sap_source_175"
"sap_build_diff_004_item","sap_build","SAP Build Apps vs SAP Build Code","","Apps prioriza low-code visual; Code prioriza desenvolvimento code-first e extensões profissionais.","sap_source_173"
"sap_build_diff_005_item","sap_build","SAP Build Work Zone vs SAP SuccessFactors Work Zone","","Build Work Zone é workspace geral; SuccessFactors Work Zone é experiência específica de RH.","sap_source_176"
