"technology_relation_id","product_id","technology_name","technology_type","relationship_description","source_id"
"sap_btp_technology_genai","sap_btp","Generative AI Hub","artificial_intelligence","Acesso governado a modelos, prompts, grounding e filtros.","sap_source_046"
"sap_btp_technology_a2a","sap_btp","Agent2Agent protocol","agent_interoperability","Padrão adotado para colaboração e interoperabilidade de agentes.","sap_source_046"
"sap_btp_technology_mcp","sap_btp","Model Context Protocol","agent_tooling","Padroniza descoberta e uso de ferramentas por agentes.","sap_source_046"
"sap_btp_technology_oidc","sap_btp","OIDC and SAML 2.0","identity","Protocolos de confiança e autenticação com SAP Cloud Identity Services.","sap_source_043"
"sap_s4hana_sap_hana","sap_s4hana","SAP HANA","database","Banco de dados obrigatório da suite, com processamento in-memory e colunar.","sap_source_057"
"sap_s4hana_sap_fiori","sap_s4hana","SAP Fiori","user_experience","Experiência de usuário e launchpad orientados por função.","sap_source_057"
"sap_s4hana_core_data_services","sap_s4hana","Core Data Services","semantic_model","Define modelos semânticos, consultas e APIs.","sap_source_057"
"sap_s4hana_abap_cloud","sap_s4hana","ABAP Cloud","development","Modelo de desenvolvimento cloud-ready para extensões upgrade-stable.","sap_source_060"
"sap_s4hana_odata","sap_s4hana","OData","api_protocol","Protocolo amplamente usado por APIs e aplicativos Fiori.","sap_source_060"
"sap_s4hana_rest_apis","sap_s4hana","REST APIs","api","Integrações síncronas com sistemas SAP e terceiros.","sap_source_061"
"sap_s4hana_business_events","sap_s4hana","Business events","event_driven","Integrações assíncronas orientadas por eventos.","sap_source_061"
"sap_s4hana_sap_btp","sap_s4hana","SAP BTP","platform","Plataforma para extensões side-by-side, integração, automação e IA.","sap_source_061"
"sap_s4hana_sap_activate","sap_s4hana","SAP Activate","methodology","Metodologia e conteúdo para adoção e implementação.","sap_source_058"
"sap_s4hana_sap_central_business_configuration","sap_s4hana","SAP Central Business Configuration","configuration","Escopo e configuração central da Public Edition.","sap_source_058"
"sap_s4hana_joule","sap_s4hana","Joule","artificial_intelligence","Interface conversacional e acesso a assistentes e agentes.","sap_source_062"
"sap_s4hana_embedded_analytics","sap_s4hana","Embedded Analytics","analytics","Analytics operacional sobre modelos CDS e dados transacionais.","sap_source_054"
"sap_successfactors_technology_001_item","sap_successfactors","Role-Based Permissions","security","Controla acesso por função e população alvo","sap_source_093"
"sap_successfactors_technology_002_item","sap_successfactors","Metadata Framework","platform","Permite objetos e configurações extensíveis","sap_source_093"
"sap_successfactors_technology_003_item","sap_successfactors","OData APIs","api","Integram dados e processos da suite","sap_source_094"
"sap_successfactors_technology_004_item","sap_successfactors","Integration Center","integration","Configura integrações e extrações","sap_source_094"
"sap_successfactors_technology_005_item","sap_successfactors","People Profile","user_experience","Apresenta informações de pessoas","sap_source_093"
"sap_successfactors_technology_006_item","sap_successfactors","Joule","artificial_intelligence","Interface conversacional e agentes","sap_source_080"
"sap_successfactors_technology_007_item","sap_successfactors","Talent Intelligence Hub","skills_platform","Base comum para skills e atributos de talento","sap_source_090"
"sap_successfactors_technology_008_item","sap_successfactors","Story Reporting","analytics","Relatórios analíticos incorporados","sap_source_091"
"sap_successfactors_technology_009_item","sap_successfactors","SAP Identity Authentication","identity","Federação e autenticação conforme landscape","sap_source_096"
"sap_successfactors_technology_010_item","sap_successfactors","SAP BTP","platform","Extensões, integração e serviços complementares","sap_source_094"
"sap_ariba_technology_001_item","sap_ariba","Open APIs","api","APIs integram sourcing, procurement e supplier management","sap_source_110"
"sap_ariba_technology_002_item","sap_ariba","SAP Ariba Cloud Integration Gateway","integration","Integra dados mestre e transações com ERP","sap_source_112"
"sap_ariba_technology_003_item","sap_ariba","Joule","artificial_intelligence","Assistente e agentes para procurement","sap_source_111"
"sap_ariba_technology_004_item","sap_ariba","Guided Buying","user_experience","Experiência orientada por políticas","sap_source_105"
"sap_ariba_technology_005_item","sap_ariba","Business Network ID","network_identity","Identifica contas na rede","sap_source_101"
"sap_ariba_technology_006_item","sap_ariba","Realm","cloud_tenant","Site lógico provisionado para solução Ariba","sap_source_114"
"sap_ariba_technology_007_item","sap_ariba","WalkMe","digital_adoption","Orientação no fluxo para guided sourcing","sap_source_102"
"sap_datasphere_technology_001_item","sap_datasphere","Business data fabric","architecture","Arquitetura que conecta dados, semântica e processos","sap_source_115"
"sap_datasphere_technology_002_item","sap_datasphere","Semantic layer","semantic_model","Camada que atribui significado empresarial aos dados","sap_source_115"
"sap_datasphere_technology_003_item","sap_datasphere","OData","api","Protocolo para consumir dados expostos","sap_source_124"
"sap_datasphere_technology_004_item","sap_datasphere","Data flows","orchestration","Fluxos gráficos de movimentação e transformação","sap_source_119"
"sap_datasphere_technology_005_item","sap_datasphere","Replication flows","replication","Fluxos de replicação para destinos","sap_source_120"
"sap_datasphere_technology_006_item","sap_datasphere","SAP HANA Cloud","database","Tecnologia de banco de dados relacionada","sap_source_126"
"sap_datasphere_technology_007_item","sap_datasphere","Spaces","governance","Contêineres de recursos e autorização","sap_source_121"
"sap_datasphere_technology_008_item","sap_datasphere","Data products","data_product","Ativos governados com metadados","sap_source_122"
"sap_datasphere_technology_009_item","sap_datasphere","SAP BW bridge","migration","Capacidade relacionada a cenários SAP BW","sap_source_127"
"sap_datasphere_technology_010_item","sap_datasphere","Business content","content","Conteúdo SAP reutilizável","sap_source_123"
"sap_analytics_cloud_technology_001_item","sap_analytics_cloud","Live connection","connectivity","Acesso em tempo real com dados permanecendo na origem.","sap_source_135"
"sap_analytics_cloud_technology_002_item","sap_analytics_cloud","Analytics Designer","development","Ambiente de desenvolvimento de analytic applications.","sap_source_134"
"sap_analytics_cloud_technology_003_item","sap_analytics_cloud","REST API","api","API para cenários documentados de SAC.","sap_source_145"
"sap_analytics_cloud_technology_004_item","sap_analytics_cloud","OData","api","Protocolo usado em fontes e integrações compatíveis.","sap_source_132"
"sap_analytics_cloud_technology_005_item","sap_analytics_cloud","Smart Predict","machine_learning","Recursos preditivos incorporados.","sap_source_142"
"sap_analytics_cloud_technology_006_item","sap_analytics_cloud","Joule","generative_ai","Assistente conversacional para insights.","sap_source_138"
"sap_analytics_cloud_technology_007_item","sap_analytics_cloud","SAP Datasphere","data_platform","Fonte de modelos e semântica governada.","sap_source_139"
"sap_analytics_cloud_technology_008_item","sap_analytics_cloud","Business content","content","Conteúdo analítico predefinido.","sap_source_136"
"sap_analytics_cloud_technology_009_item","sap_analytics_cloud","Calendar","collaboration","Coordenação de processos de planejamento.","sap_source_132"
"sap_analytics_cloud_technology_010_item","sap_analytics_cloud","Stories","reporting","Artefato principal de visualização e análise.","sap_source_132"
"sap_signavio_technology_001_item","sap_signavio","BPMN","modeling_notation","Notação suportada para modelagem de processos.","sap_source_150"
"sap_signavio_technology_002_item","sap_signavio","Process mining","analytics","Analisa event logs para revelar execução real.","sap_source_151"
"sap_signavio_technology_003_item","sap_signavio","Event logs","data","Dados de eventos usados em mineração.","sap_source_151"
"sap_signavio_technology_004_item","sap_signavio","Joule","generative_ai","Assistente e capacidades em Signavio.","sap_source_155"
"sap_signavio_technology_005_item","sap_signavio","Joule Agents","agentic_ai","Agentes de onboarding, dashboard, conteúdo e administração.","sap_source_149"
"sap_signavio_technology_006_item","sap_signavio","Natural language processing","generative_ai","Base de text to process e text to insight.","sap_source_153"
"sap_signavio_technology_007_item","sap_signavio","Process simulation","simulation","Avalia impactos de mudanças.","sap_source_150"
"sap_signavio_technology_008_item","sap_signavio","Process benchmarks","benchmarking","Compara performance a referências.","sap_source_149"
"sap_signavio_technology_009_item","sap_signavio","SAP Signavio APIs","api","Integrações e extensões conforme documentação.","sap_source_156"
"sap_business_network_technology_001_item","sap_business_network","B2B network","network","Rede multiempresa para troca de transações e informações.","sap_source_160"
"sap_business_network_technology_002_item","sap_business_network","Cloud SaaS","cloud","Serviço cloud para colaboração entre parceiros.","sap_source_160"
"sap_business_network_technology_003_item","sap_business_network","APIs","api","Interfaces para integração e automação conforme documentação.","sap_source_166"
"sap_business_network_technology_004_item","sap_business_network","Business rules","automation","Regras configuráveis automatizam e controlam processos.","sap_source_160"
"sap_business_network_technology_005_item","sap_business_network","Joule","generative_ai","IA e assistente contextual para cenários da rede.","sap_source_170"
"sap_business_network_technology_006_item","sap_business_network","Joule Agents","agentic_ai","Agentes especializados para onboarding, confirmações e exceções.","sap_source_170"
"sap_business_network_technology_007_item","sap_business_network","Electronic invoicing","compliance","Tecnologia e processos para mandatos de e-invoicing.","sap_source_160"
"sap_business_network_technology_008_item","sap_business_network","Product genealogy","traceability","Rastreabilidade e genealogia de produtos.","sap_source_160"
"sap_build_technology_001_item","sap_build","Low-code","low_code","Desenvolvimento visual com pouco ou nenhum código.","sap_source_174"
"sap_build_technology_002_item","sap_build","Pro-code","pro_code","Desenvolvimento com CAP, UI5, ABAP Cloud, JavaScript ou Java.","sap_source_177"
"sap_build_technology_003_item","sap_build","Workflow automation","automation","Orquestração de processos, tarefas e decisões.","sap_source_175"
"sap_build_technology_004_item","sap_build","Robotic process automation","automation","Bots atendidos para tarefas repetitivas.","sap_source_184"
"sap_build_technology_005_item","sap_build","Joule","generative_ai","Assistente de IA da SAP.","sap_source_183"
"sap_build_technology_006_item","sap_build","Joule Studio","agentic_ai","Ambiente para agentes e skills customizados.","sap_source_182"
"sap_build_technology_007_item","sap_build","SAP BTP","platform","Plataforma tecnológica subjacente.","sap_source_173"
"sap_build_technology_008_item","sap_build","APIs and events","integration","Conectividade com aplicações e serviços.","sap_source_178"
