"relationship_id","product_id","related_product_name","related_product_id","relationship_type","relationship_description","combined_problem_solved","source_id"
"sap_signavio_related_002_item","sap_signavio","WalkMe","","digital_adoption","Apoia adoção digital de novos processos.","Mudança sustentável.","sap_source_149"
"sap_signavio_related_003_item","sap_signavio","SAP S/4HANA","sap_s4hana","erp_transformation","Fonte e alvo comum de transformação.","Melhoria e modernização de ERP.","sap_source_149"
"sap_signavio_related_004_item","sap_signavio","SAP BTP","sap_btp","platform","Plataforma para automação e extensão orientada por processos.","Execução de melhorias.","sap_source_149"
"sap_signavio_related_005_item","sap_signavio","SAP Build Process Automation","","automation","Automatiza processos desenhados e melhorados.","Da análise à automação.","sap_source_149"
"sap_signavio_related_006_item","sap_signavio","SAP Datasphere","sap_datasphere","data_foundation","Dados para process mining e insights.","Análise baseada em dados.","sap_source_151"
"sap_signavio_related_007_item","sap_signavio","SAP Business AI Platform","","ai_platform","Sustenta Joule, agentes e governança de IA.","Transformação assistida por IA.","sap_source_155"
"sap_business_network_related_001_item","sap_business_network","SAP Ariba","sap_ariba","procurement","Soluções de spend e procurement relacionadas à rede.","Compras e colaboração conectadas.","sap_source_162"
"sap_business_network_related_002_item","sap_business_network","SAP S/4HANA","sap_s4hana","erp","ERP conectado a processos de parceiros.","Execução interna e colaboração externa.","sap_source_166"
"sap_business_network_related_003_item","sap_business_network","SAP BTP","sap_btp","platform","Fundação de integração e extensibilidade.","Escala e conectividade.","sap_source_171"
"sap_business_network_related_004_item","sap_business_network","SAP Integrated Business Planning","","planning","Planejamento e colaboração de supply chain.","Forecast mais coordenado.","sap_source_164"
"sap_business_network_related_005_item","sap_business_network","SAP Transportation Management","","logistics","Execução e gestão de transporte.","Logística conectada.","sap_source_165"
"sap_business_network_related_006_item","sap_business_network","SAP Business Data Cloud","","data","Contexto de dados para análise e IA.","Decisões orientadas por dados.","sap_source_170"
"sap_build_related_001_item","sap_build","SAP BTP","sap_btp","platform","Plataforma onde os serviços Build são executados e integrados.","Desenvolvimento e extensibilidade empresarial.","sap_source_173"
"sap_build_related_002_item","sap_build","SAP S/4HANA","sap_s4hana","erp","Principal sistema core estendido por Build.","Clean core e inovação.","sap_source_177"
"sap_build_related_003_item","sap_build","SAP Business Network","sap_business_network","business_network","Processos de parceiros podem ser automatizados com Build.","Colaboração conectada.","sap_source_175"
"sap_build_related_004_item","sap_build","SAP Joule","","ai_assistant","Assistente que pode ser estendido por Joule Studio.","IA contextual.","sap_source_182"
"sap_build_related_005_item","sap_build","SAP Datasphere","sap_datasphere","data","Dados corporativos podem alimentar apps e decisões.","Contexto confiável.","sap_source_178"
"sap_build_related_006_item","sap_build","SAP Integration Suite","","integration","Conectividade para cenários multisistema.","Integração empresarial.","sap_source_173"
