"ai_capability_id","product_id","capability_name","capability_type","purpose","relationship_description","source_id","last_verified_at"
"sap_btp_ai_workflow_ai","sap_btp","AI workflow automation","agentic_automation","Combinar raciocínio de IA com lógica determinística em workflows.","Capacidade de SAP Build Process Automation.","sap_source_039","2026-08-19"
"sap_s4hana_joule","sap_s4hana","Joule","generative_ai_assistant","Interagir com o ERP em linguagem natural.","Disponível conforme edição, escopo, licença e configuração.","sap_source_062","2026-08-19"
"sap_s4hana_joule_assistants","sap_s4hana","Joule Assistants","agentic_ai","Apoiar funções empresariais com contexto de processos.","Conectam insights e ações em domínios do ERP.","sap_source_055","2026-08-19"
"sap_s4hana_joule_agents","sap_s4hana","Joule Agents","agentic_ai","Automatizar tarefas e decisões de maior complexidade.","Usam dados e regras empresariais para planejar e executar ações.","sap_source_055","2026-08-19"
"sap_s4hana_embedded_ai_in_finance","sap_s4hana","Embedded AI in finance","embedded_ai","Automatizar reconciliações, detectar anomalias e apoiar fechamento.","Incorporada a processos financeiros selecionados.","sap_source_055","2026-08-19"
"sap_s4hana_embedded_ai_in_supply_chain","sap_s4hana","Embedded AI in supply chain","embedded_ai","Antecipar disrupções e otimizar estoques e execução.","Opera sobre contexto de planejamento e logística.","sap_source_054","2026-08-19"
"sap_s4hana_predictive_analytics","sap_s4hana","Predictive analytics","machine_learning","Estimar resultados e apoiar decisões.","Combina dados operacionais e modelos analíticos.","sap_source_054","2026-08-19"
"sap_s4hana_situation_handling","sap_s4hana","Situation handling","intelligent_automation","Detectar situações de negócio e orientar ações.","Entrega notificações e recomendações contextuais.","sap_source_072","2026-08-19"
"sap_s4hana_document_information_extraction","sap_s4hana","Document information extraction","machine_learning","Extrair dados de documentos para processos empresariais.","Reduz entrada manual em cenários compatíveis.","sap_source_072","2026-08-19"
"sap_s4hana_natural_language_navigation","sap_s4hana","Natural-language navigation","generative_ai","Localizar informações e iniciar tarefas por conversa.","Joule reduz navegação por menus e aplicativos.","sap_source_062","2026-08-19"
"sap_s4hana_ai_assisted_development","sap_s4hana","AI-assisted development","developer_ai","Apoiar criação e extensão de soluções.","Joule for Developers e ferramentas SAP complementam o ERP.","sap_source_060","2026-08-19"
"sap_successfactors_ai_001_item","sap_successfactors","Joule","generative_ai_assistant","Responder perguntas e executar tarefas de RH","Experiência incorporada conforme licença e disponibilidade","sap_source_080","2026-08-19"
"sap_successfactors_ai_002_item","sap_successfactors","HR policy Q&A","document_grounding","Responder perguntas sobre políticas internas","Usa dados estruturados e não estruturados do cliente","sap_source_098","2026-08-19"
"sap_successfactors_ai_003_item","sap_successfactors","Explain Pay","generative_ai","Explicar mudanças no pagamento","Recurso premium para Employee Central Payroll","sap_source_084","2026-08-19"
"sap_successfactors_ai_004_item","sap_successfactors","Job description enhancement","generative_ai","Aprimorar descrições de vagas","Recurso de Recruiting com Joule Premium","sap_source_085","2026-08-19"
"sap_successfactors_ai_005_item","sap_successfactors","Performance goal creation","generative_ai","Ajudar a criar metas relevantes","Recurso premium de Performance & Goals","sap_source_087","2026-08-19"
"sap_successfactors_ai_006_item","sap_successfactors","Learning recommendations","recommendation","Recomendar aprendizagem por skills e função","Personaliza desenvolvimento","sap_source_089","2026-08-19"
"sap_successfactors_ai_007_item","sap_successfactors","Succession Planning Agent","agentic_ai","Apoiar planejamento de sucessão","Introduzido nas inovações de talento 1H 2026","sap_source_090","2026-08-19"
"sap_successfactors_ai_008_item","sap_successfactors","Career Development Agent","agentic_ai","Apoiar desenvolvimento de carreira","Usa contexto de skills e talento","sap_source_090","2026-08-19"
"sap_successfactors_ai_009_item","sap_successfactors","Core HR agents","agentic_ai","Apoiar tarefas e decisões de core HR","Inovações anunciadas para 1H 2026","sap_source_083","2026-08-19"
"sap_successfactors_ai_010_item","sap_successfactors","People insights","embedded_ai","Gerar insights contextualizados sobre pessoas","Apoia decisões de RH e líderes","sap_source_080","2026-08-19"
"sap_ariba_ai_001_item","sap_ariba","Joule for procurement","generative_ai_assistant","Orientar usuários e executar tarefas","Disponibilidade varia por solução e licença","sap_source_111","2026-08-19"
"sap_ariba_ai_002_item","sap_ariba","Joule Agents","agentic_ai","Planejar e executar workflows multi-step","Usa contexto de dados e processos SAP","sap_source_111","2026-08-19"
"sap_ariba_ai_003_item","sap_ariba","Sourcing request automation","embedded_ai","Automatizar do pedido de sourcing ao award","Incorporada a sourcing conforme oferta","sap_source_102","2026-08-19"
"sap_ariba_ai_004_item","sap_ariba","Supplier discovery assistance","embedded_ai","Ajudar a localizar fornecedores","Usa perfis e filtros da rede","sap_source_102","2026-08-19"
"sap_ariba_ai_005_item","sap_ariba","Invoice automation","embedded_ai","Automatizar captura, validação e processamento","Recurso da próxima geração de invoicing","sap_source_107","2026-08-19"
"sap_ariba_ai_006_item","sap_ariba","Spend classification","machine_learning","Classificar dados de gastos","Apoia spend analysis","sap_source_108","2026-08-19"
"sap_ariba_ai_007_item","sap_ariba","Guided recommendations","recommendation","Direcionar usuários a opções conformes","Opera na experiência guided buying","sap_source_105","2026-08-19"
"sap_datasphere_ai_001_item","sap_datasphere","AI-ready semantic context","data_foundation","Preservar contexto empresarial para analytics e IA","Semântica e data products apoiam agentes e modelos","sap_source_115","2026-08-19"
"sap_datasphere_ai_002_item","sap_datasphere","SAP Business Data Cloud AI foundation","ai_platform","Unificar dados governados para IA agentic","Datasphere contribui como knowledge core","sap_source_130","2026-08-19"
"sap_datasphere_ai_003_item","sap_datasphere","Joule Agents data context","agentic_ai","Fornecer dados e contexto para agentes SAP","Business Data Cloud ancora agentes com dados confiáveis","sap_source_130","2026-08-19"
"sap_datasphere_ai_004_item","sap_datasphere","Data product discovery","intelligent_data_management","Facilitar descoberta de ativos contextualizados","Catálogo e metadados apoiam consumo controlado","sap_source_122","2026-08-19"
"sap_datasphere_ai_005_item","sap_datasphere","Semantic onboarding","data_governance","Adicionar contexto de negócio a fontes","Fundação para dados mais compreensíveis","sap_source_115","2026-08-19"
"sap_datasphere_ai_006_item","sap_datasphere","AI and analytics integration","ai_analytics","Disponibilizar modelos para consumo analítico e IA","Integra SAP e terceiros","sap_source_115","2026-08-19"
"sap_analytics_cloud_ai_001_item","sap_analytics_cloud","Joule analytical insights","generative_ai","Responder e orientar análises em linguagem natural.","Joule é incorporado à interface SAC.","sap_source_138","2026-08-19"
"sap_analytics_cloud_ai_002_item","sap_analytics_cloud","Augmented analytics","augmented_ai","Descobrir padrões e insights assistidos.","Recursos usam IA e machine learning.","sap_source_132","2026-08-19"
"sap_analytics_cloud_ai_003_item","sap_analytics_cloud","Predictive forecasting","predictive_ai","Gerar previsões para dados e planejamento.","Apoia cenários de previsão.","sap_source_142","2026-08-19"
"sap_analytics_cloud_ai_004_item","sap_analytics_cloud","Planning with predictions","predictive_planning","Usar previsões em planejamento top-down e bottom-up.","Conecta analytics preditivo ao plano.","sap_source_142","2026-08-19"
"sap_analytics_cloud_ai_005_item","sap_analytics_cloud","Agentic analytics","agentic_ai","Apoiar experiências analíticas no BDC.","Dados contextuais sustentam assistentes e agentes.","sap_source_140","2026-08-19"
"sap_analytics_cloud_ai_006_item","sap_analytics_cloud","Natural-language analytics","conversational_ai","Explorar insights com assistência conversacional.","Disponibilidade depende de cenário e licença.","sap_source_138","2026-08-19"
"sap_signavio_ai_001_item","sap_signavio","Joule in Signavio","generative_ai_assistant","Apoiar tarefas transacionais, navegacionais e informacionais.","Disponível em capacidades específicas da suíte.","sap_source_155","2026-08-19"
"sap_signavio_ai_002_item","sap_signavio","Process Transformation Assistant","agentic_ai","Coordenar agentes especializados de transformação.","Inclui process consulting e dashboard analysis.","sap_source_158","2026-08-19"
"sap_signavio_ai_003_item","sap_signavio","Process Consulting Agent","agentic_ai","Analisar processos em linguagem natural e recomendar ações.","Parte do assistente de transformação.","sap_source_158","2026-08-19"
"sap_signavio_ai_004_item","sap_signavio","Dashboard Analyzer Agent","agentic_ai","Explicar insights de processos e melhorias.","Opera em contexto Signavio.","sap_source_158","2026-08-19"
"sap_signavio_ai_005_item","sap_signavio","Text to process","generative_ai","Gerar BPMN a partir de texto.","Acelera desenho de processos.","sap_source_153","2026-08-19"
"sap_signavio_ai_006_item","sap_signavio","Text to insight","generative_ai","Consultar dados de processo em linguagem natural.","Democratiza mineração de processos.","sap_source_154","2026-08-19"
"sap_signavio_ai_007_item","sap_signavio","Text to widget","generative_ai","Criar widgets de dashboard por consultas textuais.","Acelera visualização de métricas.","sap_source_159","2026-08-19"
"sap_signavio_ai_008_item","sap_signavio","Process recommender","recommendation","Recomendar best practices de processo.","Baseado em conteúdo SAP.","sap_source_152","2026-08-19"
"sap_business_network_ai_001_item","sap_business_network","Business Network Assistant","agentic_ai","Apoiar procurement, supply chain, logística e ativos com IA.","Orquestra agentes especializados em cenários aplicáveis.","sap_source_170","2026-08-19"
"sap_business_network_ai_002_item","sap_business_network","Onboarding Agent","agentic_ai","Reduzir tempo de onboarding de fornecedores.","Disponibilidade depende da oferta.","sap_source_170","2026-08-19"
"sap_business_network_ai_003_item","sap_business_network","Order Confirmation Automation Agent","agentic_ai","Automatizar confirmações de pedidos sob regras configuradas.","Reduzir trabalho manual.","sap_source_170","2026-08-19"
"sap_business_network_ai_004_item","sap_business_network","Logistics Predictive Insights and Response Agent","agentic_ai","Detectar e mitigar disrupções logísticas.","Recomendar planos otimizados.","sap_source_170","2026-08-19"
"sap_business_network_ai_005_item","sap_business_network","Advanced Ship Notice Automation Agent","agentic_ai","Automatizar criação e consolidação de ASN.","Acelerar avisos de expedição.","sap_source_170","2026-08-19"
"sap_business_network_ai_006_item","sap_business_network","Supply Chain Impact Analysis Agent","agentic_ai","Quantificar impacto de exceções sobre pedidos.","Priorizar resposta.","sap_source_170","2026-08-19"
"sap_business_network_ai_007_item","sap_business_network","Maintenance Planning Alignment Agent","agentic_ai","Alinhar planejamento de manutenção com prestadores.","Automatizar troca de dados.","sap_source_170","2026-08-19"
"sap_build_ai_001_item","sap_build","Joule for Developers","generative_ai_assistant","Gerar apps, modelos, lógica, UI, testes e explicações.","Capacidades de design-time no Build e ABAP.","sap_source_183","2026-08-19"
"sap_build_ai_002_item","sap_build","Joule Studio","agentic_ai","Criar, implantar e gerenciar agentes e skills.","Extender Joule com contexto organizacional.","sap_source_182","2026-08-19"
"sap_build_ai_003_item","sap_build","Natural-language app generation","generative_ai","Gerar componentes de aplicações por prompts.","Acelerar prototipagem.","sap_source_183","2026-08-19"
"sap_build_ai_004_item","sap_build","Process generation","generative_ai","Gerar processos, formulários, decisões e scripts.","Acelerar automação.","sap_source_183","2026-08-19"
"sap_build_ai_005_item","sap_build","Code optimization","generative_ai","Refatorar e otimizar código com orientação SAP.","Melhorar qualidade.","sap_source_183","2026-08-19"
"sap_build_ai_006_item","sap_build","Agent orchestration","agentic_ai","Orquestrar agentes e workflows para tarefas de negócio.","Executar automação contextual.","sap_source_182","2026-08-19"
