"component_id","product_id","component_name","component_type","description","purpose","is_internal_component","source_id","language_code"
"sap_successfactors_component_007_item","sap_successfactors","Learning","separate_sap_product","LMS corporativo cloud.","Treinar e desenvolver","false","sap_source_089","pt-BR"
"sap_successfactors_component_008_item","sap_successfactors","Career and Talent Development","internal_component","Carreira, sucessão e habilidades.","Desenvolver talentos","true","sap_source_090","pt-BR"
"sap_successfactors_component_009_item","sap_successfactors","People Analytics","internal_component","Analytics e reporting de RH.","Gerar insights","true","sap_source_091","pt-BR"
"sap_successfactors_component_010_item","sap_successfactors","Qualtrics Employee Experience","complementary_solution","Experiência e feedback do colaborador.","Medir sentimento e agir","false","sap_source_092","pt-BR"
"sap_successfactors_component_011_item","sap_successfactors","SuccessFactors Platform","service","RBP, MDF, home page, profile e configuração.","Serviços comuns da suite","false","sap_source_093","pt-BR"
"sap_ariba_component_001_item","sap_ariba","SAP Ariba Sourcing","separate_sap_product","Sourcing estratégico e eventos","Selecionar fornecedores","false","sap_source_102","pt-BR"
"sap_ariba_component_002_item","sap_ariba","SAP Ariba Contracts","separate_sap_product","Gestão do ciclo de contratos","Governar contratos","false","sap_source_103","pt-BR"
"sap_ariba_component_003_item","sap_ariba","SAP Ariba Supplier Lifecycle and Performance","separate_sap_product","Gestão e desempenho de fornecedores","Gerir fornecedores","false","sap_source_104","pt-BR"
"sap_ariba_component_004_item","sap_ariba","SAP Ariba Buying","separate_sap_product","Compras e requisições","Automatizar procurement","false","sap_source_105","pt-BR"
"sap_ariba_component_005_item","sap_ariba","SAP Ariba Buying and Invoicing","separate_sap_product","Procure-to-pay integrado","Comprar e faturar","false","sap_source_105","pt-BR"
"sap_ariba_component_006_item","sap_ariba","SAP Ariba Guided Buying","feature","Experiência guiada de compra","Direcionar usuários","true","sap_source_105","pt-BR"
"sap_ariba_component_007_item","sap_ariba","SAP Ariba Catalog","separate_sap_product","Catálogos de procurement","Centralizar conteúdo","false","sap_source_106","pt-BR"
"sap_ariba_component_008_item","sap_ariba","SAP Ariba Invoicing","separate_sap_product","Automação de faturas","Processar invoices","false","sap_source_107","pt-BR"
"sap_ariba_component_009_item","sap_ariba","SAP Ariba Spend Analysis","separate_sap_product","Análise de gastos","Criar visibilidade","false","sap_source_108","pt-BR"
"sap_ariba_component_010_item","sap_ariba","SAP Business Network","complementary_solution","Rede de colaboração comercial","Conectar compradores e fornecedores","false","sap_source_101","pt-BR"
"sap_datasphere_component_001_item","sap_datasphere","SAP Datasphere Catalog","internal_component","Catálogo para descoberta e governança de ativos.","Encontrar e entender dados","true","sap_source_116","pt-BR"
"sap_datasphere_component_002_item","sap_datasphere","Data Builder","internal_component","Ferramentas para persistir, modelar e transformar dados.","Criar camadas de dados","true","sap_source_117","pt-BR"
"sap_datasphere_component_003_item","sap_datasphere","Business Builder","internal_component","Modelagem de entidades de negócio e relacionamentos.","Definir semântica","true","sap_source_115","pt-BR"
"sap_datasphere_component_004_item","sap_datasphere","Data Integration Monitor","internal_component","Monitoramento de fluxos e cargas.","Operar integrações","true","sap_source_121","pt-BR"
"sap_datasphere_component_005_item","sap_datasphere","Spaces","internal_component","Contêineres de recursos, permissões e dados.","Separar domínios","true","sap_source_121","pt-BR"
"sap_datasphere_component_006_item","sap_datasphere","Connections","internal_component","Configura acesso a sistemas de origem.","Conectar fontes","true","sap_source_118","pt-BR"
"sap_datasphere_component_007_item","sap_datasphere","Data Flows","internal_component","Fluxos gráficos de transformação.","Mover e preparar dados","true","sap_source_119","pt-BR"
"sap_datasphere_component_008_item","sap_datasphere","Replication Flows","internal_component","Fluxos de replicação para destinos.","Replicar dados","true","sap_source_120","pt-BR"
"sap_datasphere_component_009_item","sap_datasphere","SAP Business Data Cloud","complementary_solution","Oferta mais ampla de dados, analytics e IA.","Unificar ciclo de dados e IA","false","sap_source_115","pt-BR"
"sap_datasphere_component_010_item","sap_datasphere","SAP Analytics Cloud","complementary_solution","Analytics, BI e planejamento sobre dados.","Consumir insights","false","sap_source_125","pt-BR"
"sap_datasphere_component_011_item","sap_datasphere","SAP HANA Cloud","complementary_solution","Banco de dados cloud relacionado à fundação de dados.","Processar e armazenar dados","false","sap_source_126","pt-BR"
"sap_analytics_cloud_component_001_item","sap_analytics_cloud","Stories","internal_component","Dashboards e relatórios interativos.","Visualizar e comunicar insights","true","sap_source_132","pt-BR"
"sap_analytics_cloud_component_002_item","sap_analytics_cloud","Models","internal_component","Estruturas de dados para analytics e planejamento.","Padronizar medidas e dimensões","true","sap_source_132","pt-BR"
"sap_analytics_cloud_component_003_item","sap_analytics_cloud","Planning","internal_component","Funções para orçamento, forecast e simulação.","Planejar cenários","true","sap_source_133","pt-BR"
"sap_analytics_cloud_component_004_item","sap_analytics_cloud","Analytics Designer","internal_component","Ambiente para aplicações analíticas customizadas.","Criar experiências avançadas","true","sap_source_134","pt-BR"
"sap_analytics_cloud_component_005_item","sap_analytics_cloud","Smart Predict","internal_component","Recursos de predição e machine learning.","Criar previsões","true","sap_source_132","pt-BR"
"sap_analytics_cloud_component_006_item","sap_analytics_cloud","Calendar","internal_component","Calendário de tarefas e processos de planejamento.","Coordenar ciclos","true","sap_source_132","pt-BR"
"sap_analytics_cloud_component_007_item","sap_analytics_cloud","SAP Analytics Cloud mobile","complementary_solution","Aplicativo móvel e administração relacionada.","Consumir informações móveis","false","sap_source_137","pt-BR"
"sap_analytics_cloud_component_008_item","sap_analytics_cloud","SAP Datasphere","complementary_solution","Camada de dados e semântica para consumo analítico.","Fornecer dados governados","false","sap_source_139","pt-BR"
"sap_analytics_cloud_component_009_item","sap_analytics_cloud","SAP Business Data Cloud","complementary_solution","Oferta ampla de dados, analytics e IA.","Unificar dados e analytics","false","sap_source_140","pt-BR"
"sap_analytics_cloud_component_010_item","sap_analytics_cloud","SAP S/4HANA","complementary_solution","Fonte e cenário de analytics e planejamento integrado.","Analisar processos ERP","false","sap_source_141","pt-BR"
"sap_signavio_component_001_item","sap_signavio","SAP Signavio Process Manager","internal_component","Modelagem, desenho e simulação de processos.","Gerir processo de ponta a ponta","true","sap_source_150","pt-BR"
"sap_signavio_component_002_item","sap_signavio","SAP Signavio Process Intelligence","internal_component","Process mining e análise de performance.","Descobrir e melhorar processos","true","sap_source_151","pt-BR"
"sap_signavio_component_003_item","sap_signavio","SAP Signavio Process Collaboration Hub","internal_component","Portal de colaboração e consumo de conteúdo.","Compartilhar processos","true","sap_source_149","pt-BR"
"sap_signavio_component_004_item","sap_signavio","SAP Signavio Journey Modeler","internal_component","Modelagem de jornadas e experiências.","Conectar jornadas e processos","true","sap_source_149","pt-BR"
"sap_signavio_component_005_item","sap_signavio","SAP Signavio Process Governance","internal_component","Automação e governança de workflows de processo.","Controlar mudanças","true","sap_source_149","pt-BR"
"sap_signavio_component_006_item","sap_signavio","SAP Signavio Process Explorer","internal_component","Conteúdo e melhores práticas de processo.","Acelerar descoberta","true","sap_source_152","pt-BR"
"sap_signavio_component_007_item","sap_signavio","SAP Signavio Process Recommender","feature","Recomenda processos e conteúdo inicial.","Acelerar modelagem","false","sap_source_152","pt-BR"
"sap_signavio_component_008_item","sap_signavio","SAP LeanIX","complementary_solution","Gerenciamento de arquitetura e portfólio de TI.","Conectar processos e arquitetura","false","sap_source_149","pt-BR"
"sap_signavio_component_009_item","sap_signavio","WalkMe","complementary_solution","Adoção digital e orientação contextual.","Apoiar execução de novos processos","false","sap_source_149","pt-BR"
"sap_signavio_component_010_item","sap_signavio","SAP S/4HANA","complementary_solution","Sistema ERP de origem para transformação e mineração.","Conectar processo à execução","false","sap_source_151","pt-BR"
"sap_business_network_component_001_item","sap_business_network","SAP Business Network for Procurement","internal_component","Colaboração de compras, pedidos, faturas e fornecedores.","Conectar source-to-pay","true","sap_source_160","pt-BR"
"sap_business_network_component_002_item","sap_business_network","SAP Business Network for Supply Chain","internal_component","Colaboração de previsões, pedidos, entregas e qualidade.","Conectar cadeia de suprimentos","true","sap_source_164","pt-BR"
"sap_business_network_component_003_item","sap_business_network","SAP Business Network for Logistics","internal_component","Freight collaboration e visibilidade logística.","Orquestrar transporte","true","sap_source_165","pt-BR"
"sap_business_network_component_004_item","sap_business_network","SAP Business Network Asset Collaboration","internal_component","Colaboração de dados e manutenção de ativos.","Aumentar disponibilidade de ativos","true","sap_source_161","pt-BR"
"sap_business_network_component_005_item","sap_business_network","SAP Business Network Discovery","internal_component","Descoberta e relacionamento com parceiros.","Encontrar oportunidades B2B","true","sap_source_160","pt-BR"
"sap_business_network_component_006_item","sap_business_network","Business Network Assistant","feature","Assistente de IA e agentes especializados.","Apoiar execução e exceções","false","sap_source_170","pt-BR"
"sap_business_network_component_007_item","sap_business_network","SAP Ariba","complementary_solution","Soluções de spend e procurement relacionadas.","Executar processos de compras","false","sap_source_162","pt-BR"
"sap_business_network_component_008_item","sap_business_network","SAP S/4HANA","complementary_solution","ERP que integra processos de negócio e supply chain.","Conectar execução interna","false","sap_source_166","pt-BR"
"sap_business_network_component_009_item","sap_business_network","SAP BTP","complementary_solution","Fundação para integração, extensibilidade e escala.","Conectar sistemas SAP e terceiros","false","sap_source_171","pt-BR"
"sap_build_component_001_item","sap_build","SAP Build Apps","internal_component","Desenvolvimento visual low-code de aplicações.","Criar apps empresariais","true","sap_source_174","pt-BR"
"sap_build_component_002_item","sap_build","SAP Build Process Automation","internal_component","Workflows, automação, decisões, RPA e guided procedures.","Automatizar processos","true","sap_source_175","pt-BR"
"sap_build_component_003_item","sap_build","SAP Build Work Zone","internal_component","Portais, sites e workspaces digitais.","Unificar experiências","true","sap_source_176","pt-BR"
"sap_build_component_004_item","sap_build","SAP Build Code","internal_component","Desenvolvimento code-first para extensões e aplicações.","Desenvolver com pro-code","true","sap_source_177","pt-BR"
"sap_build_component_005_item","sap_build","Joule Studio","internal_component","Construção de agentes e skills para Joule.","Criar IA contextual","true","sap_source_182","pt-BR"
"sap_build_component_006_item","sap_build","Joule for Developers","feature","IA para gerar e entender código, apps, testes e automações.","Acelerar desenvolvimento","false","sap_source_183","pt-BR"
"sap_build_component_007_item","sap_build","SAP BTP","complementary_solution","Plataforma de integração, dados, IA e extensibilidade.","Executar e escalar soluções","false","sap_source_173","pt-BR"
"sap_build_component_008_item","sap_build","SAP S/4HANA","complementary_solution","Sistemas de negócio estendidos por Build.","Conectar processos core","false","sap_source_177","pt-BR"
