"term_id","product_id","term","definition","relationship_to_product","source_id","language_code"
"sap_btp_term_cloud_credit","sap_btp","Cloud Credit","Unidade usada no SAP BTP Enterprise Agreement para consumo de serviços.","Base do modelo de consumo empresarial.","sap_source_029","pt-BR"
"sap_btp_term_clean_core","sap_btp","Clean core","Princípio de manter o núcleo padrão e criar extensões desacopladas.","SAP BTP oferece extensibilidade side-by-side.","sap_source_039","pt-BR"
"sap_btp_term_cap","sap_btp","CAP","Cloud Application Programming Model para aplicações empresariais em Java e JavaScript/TypeScript.","Framework pro-code usado no SAP BTP.","sap_source_046","pt-BR"
"sap_btp_term_xsuaa","sap_btp","XSUAA","SAP Authorization and Trust Management service no Cloud Foundry environment.","Protege aplicações e gerencia autorizações.","sap_source_047","pt-BR"
"sap_btp_term_rag","sap_btp","RAG","Retrieval-Augmented Generation, padrão que fundamenta geração em documentos ou dados recuperados.","SAP HANA Cloud Vector Engine apoia o padrão.","sap_source_046","pt-BR"
"sap_btp_term_a2a","sap_btp","A2A","Protocolo Agent2Agent para colaboração e interoperabilidade entre agentes.","Padrão preferido pela SAP para comunicação entre agentes.","sap_source_046","pt-BR"
"sap_btp_term_mcp","sap_btp","MCP","Model Context Protocol para agentes descobrirem e usarem ferramentas externas.","Usado para acesso semântico de agentes a capacidades SAP.","sap_source_046","pt-BR"
"sap_s4hana_erp","sap_s4hana","ERP","Sistema que integra e administra processos empresariais centrais.","SAP S/4HANA é a suite ERP atual da SAP.","sap_source_056","pt-BR"
"sap_s4hana_sap_s_4hana","sap_s4hana","SAP S/4HANA","SAP Suite 4 SAP HANA, ERP de nova geração da SAP.","Produto principal desta base.","sap_source_057","pt-BR"
"sap_s4hana_sap_hana","sap_s4hana","SAP HANA","Banco de dados in-memory e colunar.","Fundação obrigatória de SAP S/4HANA.","sap_source_057","pt-BR"
"sap_s4hana_sap_fiori","sap_s4hana","SAP Fiori","Sistema de design e experiência orientada por funções.","Interface principal de usuário.","sap_source_057","pt-BR"
"sap_s4hana_cds","sap_s4hana","CDS","Core Data Services, camada de modelagem semântica.","Sustenta analytics, APIs e consumo de dados.","sap_source_057","pt-BR"
"sap_s4hana_public_edition","sap_s4hana","Public Edition","Edição SaaS pública multitenant e padronizada.","Opção de implantação SAP S/4HANA Cloud.","sap_source_057","pt-BR"
"sap_s4hana_private_edition","sap_s4hana","Private Edition","Edição cloud dedicada e mais flexível.","Opção para transformações que exigem maior escopo e customização.","sap_source_055","pt-BR"
"sap_s4hana_on_premise","sap_s4hana","On-premise","Software operado em infraestrutura sob responsabilidade do cliente.","Terceiro modelo principal de implantação.","sap_source_056","pt-BR"
"sap_s4hana_sap_cloud_erp","sap_s4hana","SAP Cloud ERP","Nome comercial atual da oferta ready-to-run baseada na Public Edition.","Não substitui o nome técnico SAP S/4HANA Cloud Public Edition.","sap_source_057","pt-BR"
"sap_s4hana_sap_cloud_erp_private","sap_s4hana","SAP Cloud ERP Private","Nome comercial atual da oferta tailored-to-fit baseada na Private Edition.","Convive com o nome técnico SAP S/4HANA Cloud Private Edition.","sap_source_055","pt-BR"
"sap_s4hana_grow_with_sap","sap_s4hana","GROW with SAP","Oferta comercial para adoção de cloud ERP, especialmente novos clientes.","Tem SAP S/4HANA Cloud Public Edition em seu núcleo.","sap_source_078","pt-BR"
"sap_s4hana_rise_with_sap","sap_s4hana","RISE with SAP","Jornada comercial de transformação para cloud ERP.","Pode ter SAP Cloud ERP ou SAP Cloud ERP Private no núcleo.","sap_source_079","pt-BR"
"sap_s4hana_clean_core","sap_s4hana","Clean core","Estratégia de manter o núcleo próximo ao padrão e extensões upgrade-stable.","Reduz dívida técnica e facilita inovação.","sap_source_060","pt-BR"
"sap_s4hana_sap_activate","sap_s4hana","SAP Activate","Metodologia de implementação e adoção SAP.","Estrutura projetos e uso de best practices.","sap_source_058","pt-BR"
"sap_s4hana_two_tier_erp","sap_s4hana","Two-tier ERP","Arquitetura com ERP central e outra solução em subsidiárias ou unidades.","Permite combinar edições conforme necessidades organizacionais.","sap_source_070","pt-BR"
"sap_successfactors_term_001_hcm","sap_successfactors","HCM","Human Capital Management: práticas e software para administrar a força de trabalho.","Categoria da suite","sap_source_080","pt-BR"
"sap_successfactors_term_002_hxm","sap_successfactors","HXM","Human Experience Management: ênfase histórica em experiência e engajamento.","Nome anterior da suite","sap_source_081","pt-BR"
"sap_successfactors_term_003_employee_central","sap_successfactors","Employee Central","Solução global de core HR e sistema de registro de pessoas.","Componente central","sap_source_083","pt-BR"
"sap_successfactors_term_004_rbp","sap_successfactors","RBP","Role-Based Permissions.","Modelo de autorização","sap_source_093","pt-BR"
"sap_successfactors_term_005_mdf","sap_successfactors","MDF","Metadata Framework.","Estrutura extensível da plataforma","sap_source_093","pt-BR"
"sap_successfactors_term_006_people_analytics","sap_successfactors","People Analytics","Capacidades de relatórios e análise de pessoas.","Área analítica","sap_source_091","pt-BR"
"sap_successfactors_term_007_talent_intelligence_hub","sap_successfactors","Talent Intelligence Hub","Base comum de skills e atributos de talento.","Sustenta decisões baseadas em skills","sap_source_090","pt-BR"
"sap_successfactors_term_008_joule","sap_successfactors","Joule","Assistente de IA da SAP.","Experiência conversacional e agentic","sap_source_080","pt-BR"
"sap_successfactors_term_009_lms","sap_successfactors","LMS","Learning Management System.","SuccessFactors Learning é o LMS corporativo","sap_source_089","pt-BR"
"sap_successfactors_term_010_core_hr","sap_successfactors","Core HR","Dados e processos fundamentais de pessoas.","Coberto por Employee Central","sap_source_083","pt-BR"
"sap_successfactors_term_011_payroll","sap_successfactors","Payroll","Cálculo e processamento de remuneração periódica.","Coberto por Employee Central Payroll","sap_source_084","pt-BR"
"sap_successfactors_term_012_fit_to_standard","sap_successfactors","Fit-to-standard","Adoção de processos padrão com análise de lacunas.","Prática de implementação","sap_source_093","pt-BR"
"sap_ariba_term_001_source_to_pay","sap_ariba","Source-to-pay","Processo de identificação de demanda até pagamento","Escopo central do portfólio","sap_source_100","pt-BR"
"sap_ariba_term_002_procure_to_pay","sap_ariba","Procure-to-pay","Processo de requisição, pedido, recebimento, fatura e pagamento","Coberto por Buying and Invoicing","sap_source_105","pt-BR"
"sap_ariba_term_003_guided_buying","sap_ariba","Guided buying","Experiência que orienta compras por políticas","Recurso de SAP Ariba Buying","sap_source_105","pt-BR"
"sap_ariba_term_004_realm","sap_ariba","Realm","Site lógico Ariba provisionado ao cliente","Unidade de deployment","sap_source_114","pt-BR"
"sap_ariba_term_005_anid","sap_ariba","ANID","Ariba Network ID usado para identificar contas","Mantido no contexto SAP Business Network","sap_source_101","pt-BR"
"sap_ariba_term_006_sourcing_event","sap_ariba","Sourcing event","Evento para coletar propostas e selecionar fornecedores","Objeto de SAP Ariba Sourcing","sap_source_102","pt-BR"
"sap_ariba_term_007_supplier_lifecycle","sap_ariba","Supplier lifecycle","Etapas de registro, qualificação, segmentação e desempenho","Coberto por Supplier Management","sap_source_104","pt-BR"
"sap_ariba_term_008_invoice_reconciliation","sap_ariba","Invoice reconciliation","Comparação e resolução de divergências de fatura","Processo de Invoicing","sap_source_107","pt-BR"
"sap_ariba_term_009_catalog","sap_ariba","Catalog","Conteúdo estruturado de itens e serviços","Direciona compras preferenciais","sap_source_106","pt-BR"
"sap_ariba_term_010_sap_business_network","sap_ariba","SAP Business Network","Nome atual da rede antes chamada Ariba Network","Produto relacionado, não alias de todo SAP Ariba","sap_source_101","pt-BR"
"sap_datasphere_term_001_business_data_fabric","sap_datasphere","Business data fabric","Arquitetura para conectar dados, semântica e processos com contexto.","Arquitetura habilitada por Datasphere","sap_source_115","pt-BR"
"sap_datasphere_term_002_semantic_layer","sap_datasphere","Semantic layer","Camada que define significado, relações e métricas de negócio.","Capacidade central","sap_source_115","pt-BR"
"sap_datasphere_term_003_data_product","sap_datasphere","Data product","Ativo de dados compartilhável com metadados e contexto.","Mecanismo de reuso governado","sap_source_122","pt-BR"
"sap_datasphere_term_004_space","sap_datasphere","Space","Contêiner de recursos, dados e autorização.","Unidade organizacional de Datasphere","sap_source_121","pt-BR"
"sap_datasphere_term_005_connection","sap_datasphere","Connection","Configuração para acessar sistema de origem.","Base da integração","sap_source_118","pt-BR"
"sap_datasphere_term_006_data_flow","sap_datasphere","Data flow","Fluxo gráfico para mover e transformar dados.","Preparação de dados","sap_source_119","pt-BR"
"sap_datasphere_term_007_replication_flow","sap_datasphere","Replication flow","Fluxo para replicar dados para um destino.","Carga e atualização de dados","sap_source_120","pt-BR"
"sap_datasphere_term_008_data_federation","sap_datasphere","Data federation","Acesso integrado a dados distribuídos.","Capacidade de data fabric","sap_source_116","pt-BR"
"sap_datasphere_term_009_data_virtualization","sap_datasphere","Data virtualization","Consumo de dados sem replicação obrigatória.","Capacidade de data fabric","sap_source_116","pt-BR"
"sap_datasphere_term_010_sap_data_warehouse_cloud","sap_datasphere","SAP Data Warehouse Cloud","Nome anterior da oferta.","Alias histórico de Datasphere","sap_source_116","pt-BR"
"sap_datasphere_term_011_sap_business_data_cloud","sap_datasphere","SAP Business Data Cloud","Oferta unificada de dados, analytics e IA.","Portfólio mais amplo que inclui Datasphere","sap_source_115","pt-BR"
"sap_analytics_cloud_term_001_business_intelligence","sap_analytics_cloud","Business intelligence","Análise e visualização para apoiar decisões.","Capacidade central do SAC.","sap_source_131","pt-BR"
"sap_analytics_cloud_term_002_enterprise_planning","sap_analytics_cloud","Enterprise planning","Planejamento colaborativo de finanças, operações e supply chain.","Capacidade central do SAC.","sap_source_131","pt-BR"
"sap_analytics_cloud_term_003_story","sap_analytics_cloud","Story","Artefato que combina visualizações, dados e interação.","Principal experiência de analytics.","sap_source_132","pt-BR"
"sap_analytics_cloud_term_004_model","sap_analytics_cloud","Model","Estrutura de dados usada para análise ou planejamento.","Fundação de stories e planos.","sap_source_132","pt-BR"
"sap_analytics_cloud_term_005_live_connection","sap_analytics_cloud","Live connection","Conexão que acessa dados na origem em tempo real.","Evita upload de dados para SAC.","sap_source_135","pt-BR"
"sap_analytics_cloud_term_006_analytics_designer","sap_analytics_cloud","Analytics Designer","Ambiente para criar aplicações analíticas customizadas.","Componente avançado do SAC.","sap_source_134","pt-BR"
"sap_analytics_cloud_term_007_augmented_analytics","sap_analytics_cloud","Augmented analytics","Recursos de IA para insights e explicações.","Capacidade inteligente.","sap_source_132","pt-BR"
"sap_analytics_cloud_term_008_smart_predict","sap_analytics_cloud","Smart Predict","Recursos de previsão e machine learning.","Capacidade preditiva.","sap_source_142","pt-BR"
"sap_analytics_cloud_term_009_sap_business_data_cloud","sap_analytics_cloud","SAP Business Data Cloud","Oferta de dados, analytics e IA que inclui SAC.","Portfólio mais amplo.","sap_source_140","pt-BR"
"sap_analytics_cloud_term_010_joule","sap_analytics_cloud","Joule","Assistente de IA da SAP.","Suporta insights analíticos no SAC.","sap_source_138","pt-BR"
"sap_signavio_term_001_business_process_management","sap_signavio","Business process management","Disciplina de documentar, gerenciar e melhorar processos.","Escopo da suíte.","sap_source_149","pt-BR"
"sap_signavio_term_002_process_mining","sap_signavio","Process mining","Análise de event logs para entender execução real.","Capacidade de Process Intelligence.","sap_source_151","pt-BR"
"sap_signavio_term_003_bpmn","sap_signavio","BPMN","Business Process Model and Notation.","Notação de Process Manager.","sap_source_150","pt-BR"
"sap_signavio_term_004_process_model","sap_signavio","Process model","Representação estruturada de um processo.","Artefato de modelagem.","sap_source_150","pt-BR"
"sap_signavio_term_005_process_intelligence","sap_signavio","Process intelligence","Análise de desempenho e variabilidade de processos.","Capacidade de mineração e insights.","sap_source_151","pt-BR"
"sap_signavio_term_006_journey_model","sap_signavio","Journey model","Representação de experiência e etapas de uma jornada.","Capacidade de Journey Modeler.","sap_source_149","pt-BR"
"sap_signavio_term_007_process_governance","sap_signavio","Process governance","Controle de mudanças, aprovação e responsabilidades.","Capacidade de governança.","sap_source_149","pt-BR"
"sap_signavio_term_008_collaboration_hub","sap_signavio","Collaboration Hub","Portal para publicar e colaborar sobre conteúdo de processo.","Componente da suíte.","sap_source_149","pt-BR"
"sap_signavio_term_009_text_to_process","sap_signavio","Text to process","Geração de modelo BPMN a partir de descrição textual.","Capacidade de IA.","sap_source_153","pt-BR"
"sap_signavio_term_010_joule","sap_signavio","Joule","Assistente de IA da SAP.","Suporta capacidades Signavio.","sap_source_155","pt-BR"
"sap_business_network_term_001_trading_partner","sap_business_network","Trading partner","Organização externa que compra, fornece, transporta ou presta serviço.","Unidade da colaboração B2B.","sap_source_160","pt-BR"
"sap_business_network_term_002_business_network","sap_business_network","Business Network","Rede que conecta empresas e processos entre organizações.","Produto principal.","sap_source_160","pt-BR"
"sap_business_network_term_003_source_to_pay","sap_business_network","Source-to-pay","Processo desde sourcing até pagamento.","Escopo de procurement.","sap_source_162","pt-BR"
"sap_business_network_term_004_asn","sap_business_network","ASN","Advanced Ship Notice, aviso antecipado de expedição.","Documento de supply chain.","sap_source_170","pt-BR"
"sap_business_network_term_005_freight_collaboration","sap_business_network","Freight collaboration","Coordenação de transporte entre embarcador, transportador e parceiros.","Escopo de logística.","sap_source_165","pt-BR"
"sap_business_network_term_006_product_genealogy","sap_business_network","Product genealogy","Rastreabilidade da origem e histórico de um produto.","Material traceability.","sap_source_160","pt-BR"
"sap_business_network_term_007_e_invoicing","sap_business_network","E-invoicing","Faturamento eletrônico conforme mandato e país.","Compliance.","sap_source_160","pt-BR"
"sap_business_network_term_008_joule_agent","sap_business_network","Joule Agent","Agente de IA especializado em tarefa ou processo.","Business Network Assistant.","sap_source_170","pt-BR"
"sap_build_term_001_low_code","sap_build","Low-code","Desenvolvimento visual com código mínimo.","SAP Build Apps e automação.","sap_source_174","pt-BR"
"sap_build_term_002_pro_code","sap_build","Pro-code","Desenvolvimento profissional com linguagens e frameworks.","SAP Build Code.","sap_source_177","pt-BR"
"sap_build_term_003_citizen_developer","sap_build","Citizen developer","Usuário de negócio que cria soluções com ferramentas low-code.","Público do Build.","sap_source_174","pt-BR"
"sap_build_term_004_workflow","sap_build","Workflow","Sequência de etapas, regras e tarefas de um processo.","Build Process Automation.","sap_source_175","pt-BR"
"sap_build_term_005_digital_workspace","sap_build","Digital workspace","Portal centralizado de aplicações, conteúdo e tarefas.","Build Work Zone.","sap_source_176","pt-BR"
"sap_build_term_006_joule_studio","sap_build","Joule Studio","Ambiente para criar agentes e skills customizados.","IA no SAP Build.","sap_source_182","pt-BR"
"sap_build_term_007_clean_core","sap_build","Clean core","Prática de manter o core SAP estável e estender side-by-side.","Build Code e BTP.","sap_source_177","pt-BR"
"sap_build_term_008_guided_experience","sap_build","Guided experience","Procedimento digital que orienta usuário em processo complexo.","Build Process Automation.","sap_source_179","pt-BR"
