"feature_id","product_id","feature_name","feature_category","feature_description","purpose","problem_solved","source_id","language_code","last_verified_at"
"sap_s4hana_integracao_empresarial","sap_s4hana","Integração empresarial","integration","APIs, eventos e SAP Integration Suite conectam SAP e terceiros.","Orquestrar processos ponta a ponta.","Silos de aplicações e interfaces frágeis.","sap_source_061","pt-BR","2026-08-19"
"sap_s4hana_joule_e_ia_incorporada","sap_s4hana","Joule e IA incorporada","artificial_intelligence","Assistência conversacional, agentes e recursos de IA nos processos.","Automatizar tarefas e apoiar decisões contextualizadas.","Trabalho repetitivo e análise manual.","sap_source_062","pt-BR","2026-08-19"
"sap_s4hana_localizacao_global","sap_s4hana","Localização global","localization","Processos e requisitos locais para operações em múltiplos países.","Escalar operações com aderência regional.","Complexidade fiscal e regulatória multinacional.","sap_source_055","pt-BR","2026-08-19"
"sap_s4hana_best_practices_pre_configuradas","sap_s4hana","Best practices pré-configuradas","implementation","Processos prontos e conteúdo de implementação SAP Activate.","Acelerar adoção e padronização.","Projetos longos e desenho excessivamente customizado.","sap_source_058","pt-BR","2026-08-19"
"sap_successfactors_feature_001_item","sap_successfactors","Core HR","core_hr","Centraliza dados globais de pessoas e estrutura organizacional.","Base confiável para processos de RH.","Dados mestres fragmentados","sap_source_083","pt-BR","2026-08-19"
"sap_successfactors_feature_002_item","sap_successfactors","Payroll","payroll","Processa folha e requisitos locais.","Pagar colaboradores com precisão e conformidade.","Processos complexos e locais","sap_source_084","pt-BR","2026-08-19"
"sap_successfactors_feature_003_item","sap_successfactors","Time management","time","Registra tempo, ausências e frequência.","Apoiar folha e planejamento.","Controles manuais de jornada","sap_source_083","pt-BR","2026-08-19"
"sap_successfactors_feature_004_item","sap_successfactors","Recruiting","talent","Gerencia atração, seleção e contratação.","Preencher vagas e melhorar experiência do candidato.","Recrutamento fragmentado","sap_source_085","pt-BR","2026-08-19"
"sap_successfactors_feature_005_item","sap_successfactors","Onboarding","talent","Orquestra entrada, transições e desligamento.","Acelerar produtividade e consistência.","Jornadas desconectadas","sap_source_086","pt-BR","2026-08-19"
"sap_successfactors_feature_006_item","sap_successfactors","Performance and Goals","talent","Alinha metas, avaliações e feedback.","Melhorar desempenho e alinhamento.","Baixa clareza de objetivos","sap_source_087","pt-BR","2026-08-19"
"sap_successfactors_feature_007_item","sap_successfactors","Compensation","talent","Planeja remuneração fixa e variável.","Tomar decisões salariais consistentes.","Planilhas e pouca governança","sap_source_088","pt-BR","2026-08-19"
"sap_successfactors_feature_008_item","sap_successfactors","Learning","talent","LMS corporativo para treinamento, compliance e habilidades.","Desenvolver pessoas e comprovar capacitação.","Treinamento disperso","sap_source_089","pt-BR","2026-08-19"
"sap_successfactors_feature_009_item","sap_successfactors","Career and Talent Development","talent","Apoia carreira, sucessão e desenvolvimento baseado em habilidades.","Reter e mobilizar talentos.","Baixa visibilidade de competências","sap_source_090","pt-BR","2026-08-19"
"sap_successfactors_feature_010_item","sap_successfactors","People Analytics","analytics","Relatórios, stories e análise da força de trabalho.","Decidir com dados de pessoas.","Relatórios tardios","sap_source_091","pt-BR","2026-08-19"
"sap_successfactors_feature_011_item","sap_successfactors","Employee Experience","experience","Pesquisas, feedback e ações orientadas.","Entender e melhorar experiências.","Baixo engajamento","sap_source_092","pt-BR","2026-08-19"
"sap_successfactors_feature_012_item","sap_successfactors","Joule and agents","ai","Assistentes e agentes com contexto de pessoas e processos.","Automatizar RH e apoiar colaboradores.","Tarefas repetitivas e suporte lento","sap_source_080","pt-BR","2026-08-19"
"sap_ariba_feature_001_item","sap_ariba","Strategic sourcing","sourcing","Eventos de sourcing, propostas e awards","Acelerar seleção e negociação","Processos lentos e pouco competitivos","sap_source_102","pt-BR","2026-08-19"
"sap_ariba_feature_002_item","sap_ariba","Contracts","contracts","Criação, aprovação e gestão do ciclo contratual","Governar compromissos e obrigações","Contratos dispersos","sap_source_103","pt-BR","2026-08-19"
"sap_ariba_feature_003_item","sap_ariba","Supplier management","supplier","Informações, qualificação, risco e desempenho de fornecedores","Manter base confiável de fornecedores","Risco e dados fragmentados","sap_source_104","pt-BR","2026-08-19"
"sap_ariba_feature_004_item","sap_ariba","Buying","procurement","Requisições, pedidos, aprovações e recebimento","Automatizar compras","Processos manuais","sap_source_105","pt-BR","2026-08-19"
"sap_ariba_feature_005_item","sap_ariba","Guided buying","user_experience","Experiência guiada por políticas e canais de compra","Aumentar adoção e conformidade","Compras fora de política","sap_source_105","pt-BR","2026-08-19"
"sap_ariba_feature_006_item","sap_ariba","Catalog","catalog","Conteúdo centralizado de bens e serviços","Facilitar compras preferenciais","Catálogos dispersos","sap_source_106","pt-BR","2026-08-19"
"sap_ariba_feature_007_item","sap_ariba","Invoicing","invoicing","Faturas eletrônicas, validação e reconciliação","Reduzir exceções e acelerar AP","Entrada manual e erros","sap_source_107","pt-BR","2026-08-19"
"sap_ariba_feature_008_item","sap_ariba","Spend analysis","analytics","Classificação e análise de gastos","Identificar economia e orientar categorias","Baixa visibilidade de spend","sap_source_108","pt-BR","2026-08-19"
"sap_ariba_feature_009_item","sap_ariba","Supplier collaboration","network","Troca de pedidos, confirmações e faturas","Conectar parceiros comerciais","Comunicação manual","sap_source_101","pt-BR","2026-08-19"
"sap_ariba_feature_010_item","sap_ariba","Services procurement","procurement","Aquisição de serviços e folhas de serviço","Controlar compras de serviços","Processos específicos desconectados","sap_source_109","pt-BR","2026-08-19"
"sap_ariba_feature_011_item","sap_ariba","Open APIs","integration","APIs para integrar ERP e terceiros","Orquestrar source-to-pay","Silos e interfaces frágeis","sap_source_110","pt-BR","2026-08-19"
"sap_ariba_feature_012_item","sap_ariba","Joule agents","ai","Assistentes e agentes para procurement","Automatizar decisões e tarefas","Trabalho repetitivo","sap_source_111","pt-BR","2026-08-19"
"sap_datasphere_feature_001_item","sap_datasphere","Data integration","integration","Conecta fontes SAP e de terceiros, cloud e on-premise.","Convergir dados em ambiente gerenciado.","Silos de dados","sap_source_117","pt-BR","2026-08-19"
"sap_datasphere_feature_002_item","sap_datasphere","Connections","connectivity","Conexões importam ou acessam dados de fontes externas.","Preparar dados para modelagem.","Integrações manuais","sap_source_118","pt-BR","2026-08-19"
"sap_datasphere_feature_003_item","sap_datasphere","Data catalog","catalog","Descobre, documenta e governa ativos de dados.","Aumentar encontrabilidade e confiança.","Dados desconhecidos","sap_source_116","pt-BR","2026-08-19"
"sap_datasphere_feature_004_item","sap_datasphere","Semantic modeling","semantic_layer","Modela entidades, relações e métricas com contexto de negócio.","Preservar significado na camada de consumo.","Métricas inconsistentes","sap_source_115","pt-BR","2026-08-19"
"sap_datasphere_feature_005_item","sap_datasphere","Data warehousing","warehouse","Armazena, transforma e processa dados analíticos.","Construir modelos analíticos escaláveis.","Data warehouse fragmentado","sap_source_116","pt-BR","2026-08-19"
"sap_datasphere_feature_006_item","sap_datasphere","Data virtualization","virtualization","Virtualiza workloads e acesso a dados sem replicação obrigatória.","Acessar dados distribuídos.","Cópias excessivas","sap_source_116","pt-BR","2026-08-19"
"sap_datasphere_feature_007_item","sap_datasphere","Data federation","federation","Combina acesso a dados de múltiplos locais.","Unificar consumo de dados.","Fontes desconectadas","sap_source_116","pt-BR","2026-08-19"
"sap_datasphere_feature_008_item","sap_datasphere","Data flows","orchestration","Fluxos gráficos movem e transformam dados.","Automatizar preparação.","ETL manual","sap_source_119","pt-BR","2026-08-19"
"sap_datasphere_feature_009_item","sap_datasphere","Replication flows","replication","Replica dados de fontes conectadas.","Disponibilizar dados atualizados.","Carga manual e desatualizada","sap_source_120","pt-BR","2026-08-19"
"sap_datasphere_feature_010_item","sap_datasphere","Spaces","governance","Espaços isolam modelagem, armazenamento e permissões.","Organizar domínios e responsabilidades.","Governança difusa","sap_source_121","pt-BR","2026-08-19"
"sap_datasphere_feature_011_item","sap_datasphere","Data products","data_product","Publica dados reutilizáveis com metadados e semântica.","Compartilhar dados governados.","Reuso baixo","sap_source_122","pt-BR","2026-08-19"
"sap_datasphere_feature_012_item","sap_datasphere","Business content","content","Conteúdo SAP pronto para instalação e uso.","Acelerar adoção e modelos.","Implementação do zero","sap_source_123","pt-BR","2026-08-19"
"sap_datasphere_feature_013_item","sap_datasphere","OData consumption","api","Expõe dados para consumo via OData.","Integrar e consumir modelos.","Acesso limitado","sap_source_124","pt-BR","2026-08-19"
"sap_datasphere_feature_014_item","sap_datasphere","AI-ready data foundation","ai","Oferece contexto semântico para analytics e IA.","Aumentar confiabilidade de IA.","IA sem contexto empresarial","sap_source_115","pt-BR","2026-08-19"
"sap_analytics_cloud_feature_001_item","sap_analytics_cloud","Business intelligence","bi","Cria visualizações, stories, dashboards e relatórios.","Descobrir e comunicar insights.","Relatórios fragmentados","sap_source_131","pt-BR","2026-08-19"
"sap_analytics_cloud_feature_002_item","sap_analytics_cloud","Enterprise planning","planning","Unifica planejamento financeiro, de supply chain e operacional.","Planejar e simular cenários.","Planilhas isoladas","sap_source_131","pt-BR","2026-08-19"
"sap_analytics_cloud_feature_003_item","sap_analytics_cloud","Predictive analytics","predictive","Usa modelos e previsões para apoiar decisões.","Antecipar resultados.","Planejamento reativo","sap_source_132","pt-BR","2026-08-19"
"sap_analytics_cloud_feature_004_item","sap_analytics_cloud","Augmented analytics","ai","Recursos inteligentes ajudam a encontrar insights e explicar tendências.","Acelerar análise.","Análise manual","sap_source_132","pt-BR","2026-08-19"
"sap_analytics_cloud_feature_005_item","sap_analytics_cloud","Stories","reporting","Combina gráficos, tabelas, filtros e texto em experiências analíticas.","Criar dashboards de negócio.","Comunicação difícil","sap_source_132","pt-BR","2026-08-19"
"sap_analytics_cloud_feature_006_item","sap_analytics_cloud","Analytic applications","development","Analytics Designer cria aplicações analíticas avançadas.","Atender cenários customizados.","Limites de dashboards simples","sap_source_134","pt-BR","2026-08-19"
"sap_analytics_cloud_feature_007_item","sap_analytics_cloud","Live connections","connectivity","Analisa dados em tempo real sem armazená-los no SAC.","Consumir dados na origem.","Cópias desnecessárias","sap_source_135","pt-BR","2026-08-19"
"sap_analytics_cloud_feature_008_item","sap_analytics_cloud","Models","modeling","Modelos estruturam dados e medidas para análise e planejamento.","Padronizar consumo.","Métricas inconsistentes","sap_source_132","pt-BR","2026-08-19"
"sap_analytics_cloud_feature_009_item","sap_analytics_cloud","Calendar and collaboration","collaboration","Calendários, comentários e tarefas apoiam ciclos de planejamento.","Coordenar equipes.","Planejamento desconectado","sap_source_132","pt-BR","2026-08-19"
"sap_analytics_cloud_feature_010_item","sap_analytics_cloud","Business content","content","Pacotes predefinidos de conteúdo aceleram projetos.","Acelerar implementação.","Construção do zero","sap_source_136","pt-BR","2026-08-19"
"sap_analytics_cloud_feature_011_item","sap_analytics_cloud","Mobile access","mobile","Aplicativos móveis permitem acesso a analytics e planejamento.","Decidir em qualquer lugar.","Acesso restrito ao desktop","sap_source_137","pt-BR","2026-08-19"
"sap_analytics_cloud_feature_012_item","sap_analytics_cloud","Joule analytical insights","generative_ai","Joule oferece assistência conversacional para analytics e planejamento.","Aumentar produtividade.","Exploração manual","sap_source_138","pt-BR","2026-08-19"
"sap_signavio_feature_001_item","sap_signavio","Process modeling","modeling","Documenta, modela, desenha e simula processos em nuvem.","Criar entendimento comum.","Processos não documentados","sap_source_150","pt-BR","2026-08-19"
"sap_signavio_feature_002_item","sap_signavio","BPMN support","modeling","Suporta notações como BPMN e atributos de processo.","Padronizar modelos.","Modelos inconsistentes","sap_source_150","pt-BR","2026-08-19"
"sap_signavio_feature_003_item","sap_signavio","Process mining","process_mining","Analisa dados de eventos para revelar como processos funcionam.","Descobrir gargalos e desvios.","Ineficiências ocultas","sap_source_151","pt-BR","2026-08-19"
"sap_signavio_feature_004_item","sap_signavio","Process intelligence","process_mining","Compara desempenho e apoia melhoria contínua.","Priorizar melhorias.","Baixa visibilidade operacional","sap_source_149","pt-BR","2026-08-19"
"sap_signavio_feature_005_item","sap_signavio","Process collaboration","collaboration","Compartilha conteúdo e feedback em workspace.","Alinhar stakeholders.","Silos entre negócio e TI","sap_source_149","pt-BR","2026-08-19"
"sap_signavio_feature_006_item","sap_signavio","Journey modeling","journey","Modela jornadas de clientes, fornecedores ou colaboradores.","Entender experiências ponta a ponta.","Jornadas desconectadas","sap_source_149","pt-BR","2026-08-19"
"sap_signavio_feature_007_item","sap_signavio","Process governance","governance","Gerencia conteúdo, owners, métricas e performance.","Manter processos sustentáveis.","Transformação sem governança","sap_source_150","pt-BR","2026-08-19"
"sap_signavio_feature_008_item","sap_signavio","Process simulation","simulation","Simula impactos antes da implementação.","Reduzir risco de mudança.","Mudanças não testadas","sap_source_150","pt-BR","2026-08-19"
"sap_signavio_feature_009_item","sap_signavio","Process recommender","ai","Recomenda modelos baseados em best practices SAP.","Acelerar desenho inicial.","Workshops longos","sap_source_152","pt-BR","2026-08-19"
"sap_signavio_feature_010_item","sap_signavio","Text to process","generative_ai","Transforma descrição textual em diagrama BPMN.","Acelerar modelagem.","Modelagem manual","sap_source_153","pt-BR","2026-08-19"
"sap_signavio_feature_011_item","sap_signavio","Text to insight","generative_ai","Consulta dados de processo em linguagem natural.","Democratizar process mining.","Análise técnica complexa","sap_source_154","pt-BR","2026-08-19"
"sap_signavio_feature_012_item","sap_signavio","Joule and agents","agentic_ai","Assistentes e agentes apoiam transformação e análise.","Automatizar orientação e tarefas.","Trabalho repetitivo","sap_source_155","pt-BR","2026-08-19"
"sap_business_network_feature_001_item","sap_business_network","Trading partner collaboration","collaboration","Conecta compradores, fornecedores e prestadores em uma rede B2B.","Trocar informações e transações.","Silos entre parceiros","sap_source_160","pt-BR","2026-08-19"
"sap_business_network_feature_002_item","sap_business_network","Procurement collaboration","procurement","Suporta source-to-pay, pedidos, confirmações, faturas e onboarding.","Aumentar eficiência de compras.","Processos manuais","sap_source_160","pt-BR","2026-08-19"
"sap_business_network_feature_003_item","sap_business_network","Supply chain collaboration","supply_chain","Compartilha previsões, pedidos, entregas e exceções.","Aumentar visibilidade.","Rupturas e atrasos","sap_source_164","pt-BR","2026-08-19"
"sap_business_network_feature_004_item","sap_business_network","Freight collaboration","logistics","Coordena transporte, frete e eventos logísticos com parceiros.","Otimizar fluxos logísticos.","Baixa visibilidade de transporte","sap_source_165","pt-BR","2026-08-19"
"sap_business_network_feature_005_item","sap_business_network","Asset collaboration","asset_management","Conecta fabricantes, operadores e prestadores de manutenção.","Reduzir downtime.","Dados de ativos fragmentados","sap_source_161","pt-BR","2026-08-19"
"sap_business_network_feature_006_item","sap_business_network","Material traceability","traceability","Apoia genealogia de produto e rastreabilidade entre parceiros.","Cumprir requisitos e responder a riscos.","Rastreabilidade incompleta","sap_source_160","pt-BR","2026-08-19"
"sap_business_network_feature_007_item","sap_business_network","Trading partner discovery","discovery","Permite descoberta e relacionamento com parceiros comerciais.","Expandir oportunidades.","Dificuldade para encontrar parceiros","sap_source_160","pt-BR","2026-08-19"
"sap_business_network_feature_008_item","sap_business_network","Business Network Assistant","agentic_ai","Usa IA para colaborar, recomendar e apoiar execução em procurement e supply chain.","Acelerar decisões e ações.","Exceções e tarefas repetitivas","sap_source_170","pt-BR","2026-08-19"
"sap_business_network_feature_009_item","sap_business_network","Supplier onboarding automation","agentic_ai","Agente reduz onboarding de fornecedores de dias para minutos em cenários aplicáveis.","Escalar habilitação.","Onboarding demorado","sap_source_170","pt-BR","2026-08-19"
"sap_business_network_feature_010_item","sap_business_network","E-invoicing compliance","compliance","Suporta mandatos de faturamento eletrônico em diversos países.","Atender regulamentações.","Risco fiscal e regulatório","sap_source_160","pt-BR","2026-08-19"
"sap_build_feature_001_item","sap_build","Application development","development","Cria aplicações empresariais com low-code, pro-code e IA.","Entregar extensões e apps.","Desenvolvimento lento","sap_source_173","pt-BR","2026-08-19"
"sap_build_feature_002_item","sap_build","Process automation","automation","Automatiza workflows, tarefas, decisões e RPA.","Reduzir trabalho manual.","Processos repetitivos","sap_source_175","pt-BR","2026-08-19"
"sap_build_feature_003_item","sap_build","Digital workspaces","workspace","Cria sites, portais e experiências digitais centralizadas.","Unificar acesso a apps e tarefas.","Experiências fragmentadas","sap_source_176","pt-BR","2026-08-19"
"sap_build_feature_004_item","sap_build","Low-code development","low_code","Permite criação visual por usuários de negócio e desenvolvedores.","Democratizar desenvolvimento.","Dependência de backlog técnico","sap_source_174","pt-BR","2026-08-19"
"sap_build_feature_005_item","sap_build","Pro-code development","pro_code","Suporta CAP, SAPUI5, ABAP Cloud, JavaScript e Java.","Atender requisitos complexos.","Limitações de customização","sap_source_177","pt-BR","2026-08-19"
"sap_build_feature_006_item","sap_build","Joule for Developers","generative_ai","Gera, testa, explica e otimiza aplicações e código por linguagem natural.","Acelerar ciclo de desenvolvimento.","Tarefas técnicas repetitivas","sap_source_183","pt-BR","2026-08-19"
"sap_build_feature_007_item","sap_build","Joule Studio","agentic_ai","Cria e gerencia agentes, skills e workflows de IA.","Estender Joule ao contexto da empresa.","Automação inteligente limitada","sap_source_182","pt-BR","2026-08-19"
"sap_build_feature_008_item","sap_build","Governance and roles","governance","Inclui governança, papéis e controles para soluções criadas.","Manter segurança e alinhamento.","Shadow IT","sap_source_178","pt-BR","2026-08-19"
"sap_build_feature_009_item","sap_build","Guided experiences","workspace","Cria procedimentos guiados para processos complexos.","Orientar usuários.","Erros em processos multisistema","sap_source_179","pt-BR","2026-08-19"
"sap_build_feature_010_item","sap_build","Open ecosystem","integration","Permite trabalhar com VS Code, APIs e ferramentas de desenvolvimento.","Integrar ao ecossistema existente.","Lock-in de ferramentas","sap_source_173","pt-BR","2026-08-19"
