"integration_id","product_id","integrated_product","integrated_product_id","integration_scope","integration_type","purpose","description","source_id","last_verified_at"
"sap_analytics_cloud_integration_006_item","sap_analytics_cloud","SAP BW","","Data warehouse","live_connection","Consumir dados de cenários BW","Live connection mantém dados na origem","sap_source_135","2026-08-19"
"sap_analytics_cloud_integration_007_item","sap_analytics_cloud","Microsoft Office","","Office integration","add_in","Levar analytics ao ambiente Office","Add-in permite visualizações e análise","sap_source_144","2026-08-19"
"sap_analytics_cloud_integration_008_item","sap_analytics_cloud","Third-party data sources","","Data connectivity","connection","Conectar dados internos e externos","Modelos e connections integram fontes compatíveis","sap_source_132","2026-08-19"
"sap_signavio_integration_001_item","sap_signavio","SAP S/4HANA","sap_s4hana","ERP transformation and process data","process_integration","Analisar e transformar processos ERP","Mining e modelos apoiam migração e clean core","sap_source_149","2026-08-19"
"sap_signavio_integration_002_item","sap_signavio","SAP BTP","sap_btp","Platform and transformation","platform","Conectar automação e extensões aos processos","Processos orientam inovação na plataforma","sap_source_149","2026-08-19"
"sap_signavio_integration_003_item","sap_signavio","SAP LeanIX","","Enterprise architecture","portfolio_integration","Relacionar processos à arquitetura","Transformação integrada de negócio e TI","sap_source_149","2026-08-19"
"sap_signavio_integration_004_item","sap_signavio","WalkMe","","Digital adoption","change_integration","Orientar usuários em novos processos","Fechar lacunas de adoção","sap_source_149","2026-08-19"
"sap_signavio_integration_005_item","sap_signavio","SAP Build Process Automation","","Automation","process_automation","Converter melhorias em automação","Modelos orientam automação de workflows","sap_source_149","2026-08-19"
"sap_signavio_integration_006_item","sap_signavio","SAP Datasphere","sap_datasphere","Data foundation","data_integration","Usar dados para processos e insights","Contexto de dados para análise","sap_source_151","2026-08-19"
"sap_signavio_integration_007_item","sap_signavio","Third-party systems","","Event log sources","data_connection","Analisar execução de processos","Process mining usa dados de eventos conforme cenário","sap_source_151","2026-08-19"
"sap_business_network_integration_001_item","sap_business_network","SAP S/4HANA","sap_s4hana","ERP procurement and supply chain","erp_integration","Integrar processos internos com parceiros","Trocar documentos e dados entre ERP e rede","sap_source_166","2026-08-19"
"sap_business_network_integration_002_item","sap_business_network","SAP Ariba","sap_ariba","Procurement and spend","procurement_integration","Conectar compras e fornecedores","Colaboração source-to-pay","sap_source_162","2026-08-19"
"sap_business_network_integration_003_item","sap_business_network","SAP BTP","sap_btp","Integration and extensibility","platform","Estender e integrar a rede","Conectar SAP e terceiros","sap_source_171","2026-08-19"
"sap_business_network_integration_004_item","sap_business_network","Third-party ERP systems","","Enterprise integration","erp_integration","Conectar compradores e fornecedores não SAP","Interoperabilidade B2B","sap_source_166","2026-08-19"
"sap_business_network_integration_005_item","sap_business_network","SAP Integrated Business Planning","","Planning collaboration","planning","Compartilhar forecast e respostas","Supply chain collaboration","sap_source_164","2026-08-19"
"sap_business_network_integration_006_item","sap_business_network","SAP Transportation Management","","Transportation execution","logistics","Orquestrar frete e eventos","Logistics collaboration","sap_source_165","2026-08-19"
"sap_build_integration_001_item","sap_build","SAP BTP","sap_btp","Platform services","platform","Executar e estender soluções Build","Fundação de integração, runtime e serviços","sap_source_173","2026-08-19"
"sap_build_integration_002_item","sap_build","SAP S/4HANA","sap_s4hana","ERP APIs and processes","erp_integration","Estender processos core","Apps e automações conectam processos SAP","sap_source_177","2026-08-19"
"sap_build_integration_003_item","sap_build","SAP Business Network","sap_business_network","Procurement and supply chain","business_network","Automatizar processos entre parceiros","Build integra workflows de rede","sap_source_175","2026-08-19"
"sap_build_integration_004_item","sap_build","SAP Build Work Zone","sap_build","Digital workspace","workspace","Publicar apps e automações","Experiência centralizada","sap_source_176","2026-08-19"
"sap_build_integration_005_item","sap_build","Visual Studio Code","","Development environment","pro_code","Desenvolver com ferramentas preferidas","Ecossistema aberto","sap_source_173","2026-08-19"
"sap_build_integration_006_item","sap_build","Joule","","AI assistant","ai","Criar e consumir agentes e skills","IA contextual","sap_source_182","2026-08-19"
