"source_id","source_title","source_url","source_domain","source_type","official_sap_source","publication_date","updated_date","accessed_at","relevant_section","source_language","notes"
"sap_source_023","QuickBooks Integration Using Concur Financial Integration Service","https://help.sap.com/docs/concur-expense/concur-expense-standard-edition-administration-guides/quickbooks-integration-using-concur-financial-integration-service","help.sap.com","integration_documentation","true","","","2026-08-19","Integração QuickBooks por APIs","en-US",""
"sap_source_024","Concur Request, request assistant","https://www.sap.com/products/spend-management/concur-request-request-assistant.html","sap.com","feature_page","true","","","2026-08-19","Estimativas de viagem por GenAI; Concur Request","en-US",""
"sap_source_025","Automate expense audits with AI","https://www.sap.com/uk/use-cases/automate-expense-audits","sap.com","use_case_page","true","","","2026-08-19","Verify; auditoria de relatórios; anomalias e políticas","en-US",""
"sap_source_026","SAP Business Technology Platform | SAP","https://www.sap.com/products/technology-platform.html","sap.com","product_page","true","","","2026-08-19","Posicionamento atual; Business AI Platform; Joule Studio; Integration Suite","en-US",""
"sap_source_027","SAP Business Technology Platform | SAP Help Portal","https://help.sap.com/docs/btp/sap-business-technology-platform/sap-business-technology-platform","help.sap.com","help_documentation","true","","","2026-08-19","Definição e capacidades gerais","en-US",""
"sap_source_028","SAP Business Technology Platform | SAP Learning","https://learning.sap.com/products/business-technology-platform","learning.sap.com","help_documentation","true","","","2026-08-19","Ambiente unificado; integração; dados; analytics; IA; desenvolvimento","en-US",""
"sap_source_029","Pricing | SAP Business Technology Platform","https://www.sap.com/products/technology-platform/pricing.html","sap.com","pricing_page","true","","","2026-08-19","Pay-As-You-Go; Enterprise Agreement; Subscription; free tier","en-US",""
"sap_source_030","SAP Unveils the Autonomous Enterprise","https://news.sap.com/2026/05/sap-sapphire-sap-unveils-autonomous-enterprise/","news.sap.com","other_official_sap","true","2026-05-12","","2026-08-19","SAP Business AI Platform; unificação de BTP, BDC e Business AI","en-US",""
"sap_source_031","SAP Business Technology Platform (SAP BTP)","https://help.sap.com/docs/btp","help.sap.com","help_documentation","true","","","2026-08-19","Portal de documentação; ambientes e serviços","en-US",""
"sap_source_032","Explaining how the Recent Rebranding Displays in This Material","https://learning.sap.com/courses/sap-java-process-integration/explaining-how-the-recent-rebranding-displays-in-this-material_b38d8d87-cb88-4f89-abe8-c724049e8364","learning.sap.com","other_official_sap","true","","","2026-08-19","Evolução da marca SAP Cloud Platform para SAP BTP","en-US",""
"sap_source_033","SAP Business Technology Platform | Use Cases","https://www.sap.com/products/technology-platform/use-cases.html","sap.com","use_case_page","true","","","2026-08-19","Fechamento financeiro; aplicativo móvel de RH; onboarding","en-US",""
"sap_source_034","Describing the Key Areas of SAP BTP","https://learning.sap.com/courses/discovering-sap-business-technology-platform-1/describing-the-key-areas-of-sap-business-technology-platform_aa41bbd6-2059-47a2-8420-2b1d2cd096be","learning.sap.com","help_documentation","true","","","2026-08-19","Áreas atuais de capacidades","en-US",""
"sap_source_035","SAP Integration Suite","https://www.sap.com/products/technology-platform/integration-suite.html","sap.com","product_page","true","","","2026-08-19","iPaaS; conteúdo predefinido; APIs; eventos; IA","en-US",""
"sap_source_036","AI in SAP BTP","https://www.sap.com/products/technology-platform/ai.html","sap.com","feature_page","true","","","2026-08-19","Agentes; governança; AI Foundation; Document AI","en-US",""
"sap_source_037","Illustrating the Architecture of SAP BTP","https://learning.sap.com/courses/exploring-sap-business-technology-platform/illustrating-the-architecture-of-sap-btp_dece8e77-4191-4452-8595-171fa1a4aae7","learning.sap.com","help_documentation","true","","","2026-08-19","Accounts; regiões; ambientes; serviços; hyperscalers","en-US",""
"sap_source_038","SAP BTP Core Platform Capabilities and Services","https://www.sap.com/products/technology-platform/core-platform-capabilities.html","sap.com","feature_page","true","","","2026-08-19","ALM; segurança; interoperabilidade; operações; multicloud","en-US",""
"sap_source_039","SAP Build - App Development and Automation","https://www.sap.com/products/technology-platform/build.html","sap.com","product_page","true","","","2026-08-19","Aplicações; automação; ABAP; Joule; clean core","en-US",""
"sap_source_040","Cloud Foundry Environment","https://help.sap.com/docs/btp/sap-business-technology-platform/cloud-foundry-environment","help.sap.com","help_documentation","true","","","2026-08-19","Runtime Cloud Foundry","en-US",""
"sap_source_041","Connecting to Remote Systems","https://help.sap.com/docs/btp/btp-developers-guide/connecting-to-remote-systems","help.sap.com","integration_documentation","true","","","2026-08-19","Conectividade on-premise e private cloud","en-US",""
"sap_source_042","ABAP environments for SAP S/4HANA Cloud and SAP BTP","https://www.sap.com/products/technology-platform/abap/environment.html","sap.com","feature_page","true","","","2026-08-19","ABAP environment; extensibilidade side-by-side","en-US",""
"sap_source_043","Explaining Identity Provisioning Reference Architecture","https://learning.sap.com/courses/architecting-security-for-sap-business-technology-platform/explaining-identity-provisioning-reference-architecture","learning.sap.com","security_documentation","true","","","2026-08-19","SAP Cloud Identity Services; OIDC; SAML 2.0","en-US",""
"sap_source_044","SAP Business Technology Platform | Free Trial","https://www.sap.com/products/technology-platform/trial.html","sap.com","pricing_page","true","","","2026-08-19","Trial de 90 dias; limitações e encerramento","en-US",""
"sap_source_045","Discovering the AI & Data Foundation with SAP HANA Cloud","https://learning.sap.com/courses/exploring-sap-business-technology-platform/discovering-the-value-of-sap-hana-cloud-and-other-database-services_e5c2f489-0cd3-452b-baa8-a06e396c7cba","learning.sap.com","help_documentation","true","","","2026-08-19","SAP HANA Cloud; dados; DBaaS; IA","en-US",""
"sap_source_046","Build AI Agents on SAP BTP","https://architecture.learning.sap.com/docs/golden-path/ai-golden-path/build-and-deliver/build-ai-agents","architecture.learning.sap.com","help_documentation","true","2026-04-23","","2026-08-19","Agentes low-code e pro-code; AI Core; RAG; A2A; MCP","en-US",""
"sap_source_047","Authorization and Trust Management Service","https://help.sap.com/docs/btp/sap-business-technology-platform/what-is-sap-authorization-and-trust-management-service","help.sap.com","security_documentation","true","","","2026-08-19","XSUAA; autorização e confiança","en-US",""
"sap_source_048","SAP BTP Security Recommendations","https://help.sap.com/docs/btp/sap-btp-security-recommendations-c8a9bb59fe624f0981efa0eff2497d7d/sap-btp-security-recommendations","help.sap.com","security_documentation","true","","","2026-08-19","Recomendações centrais de segurança","en-US",""
"sap_source_049","DevOps with SAP BTP","https://architecture.learning.sap.com/docs/ref-arch/b51e91","architecture.learning.sap.com","help_documentation","true","","","2026-08-19","CI/CD; transporte; Cloud ALM; logging; operações","en-US",""
"sap_source_050","Monitoring Usage and Consumption Costs in Your Global Account","https://help.sap.com/docs/btp/sap-business-technology-platform/monitoring-usage-and-consumption-costs-in-your-global-account","help.sap.com","help_documentation","true","","","2026-08-19","Monitoramento de uso e custos","en-US",""
"sap_source_051","Shared Responsibility Model Between You and SAP","https://help.sap.com/docs/btp/btp-admin-guide/shared-responsibility-model-between-you-and-sap","help.sap.com","security_documentation","true","","","2026-08-19","Responsabilidade compartilhada","en-US",""
"sap_source_052","Certifications and Compliance | SAP Trust Center","https://www.sap.com/about/trust-center/certification-compliance.html","sap.com","security_documentation","true","","","2026-08-19","Relatórios Central Cloud Services e acesso a documentos","en-US",""
"sap_source_053","Regions","https://help.sap.com/docs/btp/sap-business-technology-platform/regions","help.sap.com","help_documentation","true","","","2026-08-19","Disponibilidade regional e provedores de infraestrutura","en-US",""
"sap_source_054","SAP S/4HANA Cloud Public Edition","https://www.sap.com/products/erp/s4hana.html","sap.com","product_page","true","","","2026-08-19","Visão geral; capacidades; benefícios; integrações; deployment","en-US",""
"sap_source_055","SAP Cloud ERP Private","https://www.sap.com/products/erp/s4hana-private-edition.html","sap.com","product_page","true","","","2026-08-19","Private Edition; capacidades; segurança; benefícios; IA","en-US",""
"sap_source_056","SAP S/4HANA","https://help.sap.com/docs/SAP_S4HANA_ON-PREMISE","help.sap.com","help_documentation","true","","","2026-08-19","Documentação on-premise; versão 2025","en-US",""
"sap_source_057","Technical Layers and Deployment Variants of SAP S/4HANA","https://learning.sap.com/courses/exploring-sap-cloud-erp/describing-the-technical-layers-and-deployment-variants-of-sap-s-4hana_b81ddd87-646f-4c28-89e0-e29815cb59d5","learning.sap.com","learning_content","true","","","2026-08-19","Arquitetura; nomes; deployment; releases","en-US",""
"sap_source_058","Implementing SAP S/4HANA Cloud Public Edition","https://learning.sap.com/courses/implementing-sap-s-4hana-cloud-public-edition","learning.sap.com","learning_content","true","","","2026-08-19","Implementação; SAP Activate; configuração","en-US",""
"sap_source_059","Implementing SAP S/4HANA Cloud Private Edition","https://learning.sap.com/courses/implementing-sap-s-4hana-cloud-private-edition","learning.sap.com","learning_content","true","","","2026-08-19","Implementação e adoção Private Edition","en-US",""
"sap_source_060","Practice Clean Core Extensibility","https://learning.sap.com/courses/practicing-clean-core-extensibility-for-sap-s-4hana-cloud","learning.sap.com","learning_content","true","","","2026-08-19","Clean core e extensibilidade","en-US",""
"sap_source_061","Extend and Integrate SAP S/4HANA Cloud Public Edition","https://help.sap.com/docs/SAP_S4HANA_CLOUD/0f69f8fb28ac4bf48d2b57b9637e81fa/7139c1648de84c0bbd7637589ed7c92a.html","help.sap.com","integration_documentation","true","","","2026-08-19","Extensibilidade; integração; APIs","en-US",""
"sap_source_062","Joule with SAP S/4HANA Cloud Public Edition","https://www.sap.com/uk/products/erp/joule-with-sap-s4hana-cloud-public-edition.html","sap.com","ai_feature_page","true","","","2026-08-19","Joule; IA incorporada","en-US",""
"sap_source_063","Administrating SAP S/4HANA Cloud Public Edition","https://learning.sap.com/courses/administrating-sap-s-4hana-cloud-public-edition","learning.sap.com","learning_content","true","","","2026-08-19","IAM; administração; jobs; monitoramento","en-US",""
"sap_source_064","Release Cycles in SAP S/4HANA","https://help.sap.com/docs/SAP_S4HANA_ON-PREMISE/8308e6d301d54584a33cd04a9861bc52/4e8cdcc8cbaf4b909217bda9965b7db4.html","help.sap.com","help_documentation","true","","","2026-08-19","Ciclo de releases","en-US",""
"sap_source_065","SAP S/4HANA Sourcing and Procurement","https://learning.sap.com/courses/business-processes-in-sap-s-4hana-sourcing-and-procurement","learning.sap.com","learning_content","true","","","2026-08-19","Compras e procurement","en-US",""
"sap_source_066","SAP S/4HANA Sales Essentials","https://learning.sap.com/courses/exploring-sap-s-4hana-sales-essentials","learning.sap.com","learning_content","true","","","2026-08-19","Vendas e order-to-cash","en-US",""
"sap_source_067","Discovering SAP S/4HANA Manufacturing","https://learning.sap.com/courses/discovering-sap-s-4hana-manufacturing","learning.sap.com","learning_content","true","","","2026-08-19","Manufatura","en-US",""
"sap_source_068","Discovering SAP S/4HANA Asset Management","https://learning.sap.com/courses/discovering-sap-s-4hana-asset-management","learning.sap.com","learning_content","true","","","2026-08-19","Gestão de ativos","en-US",""
"sap_source_069","Discovering SAP S/4HANA Service","https://learning.sap.com/courses/discovering-sap-s-4hana-service","learning.sap.com","learning_content","true","","","2026-08-19","Gestão de serviços","en-US",""
"sap_source_070","Cloud ERP and Two-Tier ERP","https://learning.sap.com/courses/exploring-sap-cloud-erp","learning.sap.com","learning_content","true","","","2026-08-19","Cloud ERP; deployment; two-tier","en-US",""
"sap_source_071","SAP S/4HANA Cloud Public Edition Public Sector","https://learning.sap.com/courses/implementing-budget-management-in-sap-s-4hana-cloud-public-edition-public-sector-higher-education/understanding-sap-s-4hana-cloud-public-edition-for-public-sector_ba95da5d-1181-4f59-8e42-7b9fa85a46bb","learning.sap.com","learning_content","true","","","2026-08-19","Indústrias; integrações; linhas de negócio","en-US",""
"sap_source_072","SAP S/4HANA Cloud Public Edition Innovations","https://www.sap.com/products/erp/s4hana/innovations.html","sap.com","feature_page","true","","","2026-08-19","Inovações e IA","en-US",""
"sap_source_073","Security Guide for SAP S/4HANA Cloud Public Edition","https://help.sap.com/docs/SAP_S4HANA_CLOUD/53e36b5493804bcdb3f6f14de8b487dd","help.sap.com","security_documentation","true","","","2026-08-19","Segurança; identidade; logs","en-US",""
"sap_source_074","Protect Your SAP S/4HANA Cloud Public Edition","https://help.sap.com/docs/SAP_S4HANA_CLOUD/55a7cb346519450cb9e6d21c1ecd6ec1/484053beaaa3455590cbf90ca99d541f.html","help.sap.com","security_documentation","true","","","2026-08-19","Responsabilidade e proteção cloud","en-US",""
"sap_source_075","SAP Trust Center Certifications and Compliance","https://www.sap.com/about/trust-center/certification-compliance.html","sap.com","security_documentation","true","","","2026-08-19","Certificações e compliance","en-US",""
"sap_source_076","SAP S/4HANA Cloud Public Edition Trial","https://www.sap.com/products/erp/s4hana/trial.html","sap.com","pricing_page","true","","","2026-08-19","Trial; duração; limitações","en-US",""
"sap_source_077","SAP Signavio Process Transformation Suite","https://www.sap.com/products/business-transformation-management.html","sap.com","product_page","true","","","2026-08-19","Transformação de processos","en-US",""
"sap_source_078","SAP GROW","https://www.sap.com/products/erp/grow.html","sap.com","commercial_offering","true","","","2026-08-19","Oferta GROW; Public Edition","en-US",""
"sap_source_079","RISE with SAP","https://www.sap.com/products/erp/rise.html","sap.com","commercial_offering","true","","","2026-08-19","Oferta RISE; cloud ERP","en-US",""
"sap_source_080","SAP SuccessFactors","https://www.sap.com/products/hcm.html","sap.com","product_page","true","","","2026-08-19","SAP SuccessFactors HCM","en-US",""
"sap_source_081","SAP SuccessFactors HCM Help","https://help.sap.com/docs/SAP_SUCCESSFACTORS_HXM_SUITE","help.sap.com","help_documentation","true","","","2026-08-19","SAP SuccessFactors HCM","en-US",""
"sap_source_082","Introducing SAP SuccessFactors","https://learning.sap.com/courses/business-processes-in-sap-hcm-on-s-4hana/introducing-sap-successfactors","learning.sap.com","learning_content","true","","","2026-08-19","SAP SuccessFactors HCM","en-US",""
"sap_source_083","SAP SuccessFactors Employee Central","https://www.sap.com/products/hcm/employee-central-hris.html","sap.com","product_page","true","","","2026-08-19","SAP SuccessFactors HCM","en-US",""
"sap_source_084","SAP SuccessFactors Employee Central Payroll","https://www.sap.com/products/hcm/employee-central-payroll.html","sap.com","product_page","true","","","2026-08-19","SAP SuccessFactors HCM","en-US",""
"sap_source_085","SAP SuccessFactors Recruiting","https://www.sap.com/products/hcm/recruiting-software.html","sap.com","product_page","true","","","2026-08-19","SAP SuccessFactors HCM","en-US",""
"sap_source_086","SAP SuccessFactors Onboarding","https://www.sap.com/products/hcm/employee-onboarding.html","sap.com","product_page","true","","","2026-08-19","SAP SuccessFactors HCM","en-US",""
"sap_source_087","SAP SuccessFactors Performance & Goals","https://www.sap.com/products/hcm/performance-goals.html","sap.com","product_page","true","","","2026-08-19","SAP SuccessFactors HCM","en-US",""
"sap_source_088","SAP SuccessFactors Compensation","https://www.sap.com/products/hcm/compensation-management.html","sap.com","product_page","true","","","2026-08-19","SAP SuccessFactors HCM","en-US",""
"sap_source_089","SAP SuccessFactors Learning","https://www.sap.com/products/hcm/corporate-lms.html","sap.com","product_page","true","","","2026-08-19","SAP SuccessFactors HCM","en-US",""
"sap_source_090","SAP SuccessFactors Career and Talent Development","https://www.sap.com/products/hcm/career-talent-development.html","sap.com","product_page","true","","","2026-08-19","SAP SuccessFactors HCM","en-US",""
"sap_source_091","SAP SuccessFactors People Analytics","https://www.sap.com/products/hcm/workforce-analytics.html","sap.com","product_page","true","","","2026-08-19","SAP SuccessFactors HCM","en-US",""
"sap_source_092","Employee Experience Management","https://www.sap.com/products/hcm/employee-experience-management.html","sap.com","product_page","true","","","2026-08-19","SAP SuccessFactors HCM","en-US",""
"sap_source_093","SAP SuccessFactors Platform Introduction Academy","https://learning.sap.com/courses/sap-successfactors-platform-introduction-academy","learning.sap.com","learning_content","true","","","2026-08-19","SAP SuccessFactors HCM","en-US",""
"sap_source_094","SAP SuccessFactors Suite Reference Architecture","https://architecture.learning.sap.com/docs/ref-arch/14d25a","architecture.learning.sap.com","architecture_documentation","true","","","2026-08-19","SAP SuccessFactors HCM","en-US",""
"sap_source_095","SuccessFactors Microsoft Teams Chat","https://www.sap.com/products/hcm/successfactors-solutions-microsoft-teams-chat.html","sap.com","ai_feature_page","true","","","2026-08-19","SAP SuccessFactors HCM","en-US",""
"sap_source_096","SAP SuccessFactors Security and Privacy","https://help.sap.com/docs/SAP_SUCCESSFACTORS_HXM_SUITE/8f0d540f96474717bbf18df51e54e2b6","help.sap.com","security_documentation","true","","","2026-08-19","SAP SuccessFactors HCM","en-US",""
"sap_source_097","SAP SuccessFactors HCM Trial","https://www.sap.com/products/hcm/trial.html","sap.com","pricing_page","true","","","2026-08-19","SAP SuccessFactors HCM","en-US",""
"sap_source_098","SuccessFactors Joule Q&A","https://www.sap.com/products/hcm/successfactors-solutions-joule-qa.html","sap.com","ai_feature_page","true","","","2026-08-19","SAP SuccessFactors HCM","en-US",""
"sap_source_099","SuccessFactors Audit Logs 1H 2026","https://learning.sap.com/courses/sap-successfactors-employee-central-core-and-position-management/describing-key-sap-successfactors-platform-1h-2024-features-and-enhancements_dd1458a6-5283-469d-8c43-68424885d3ab-1-1-1-1-1-1-1-1","learning.sap.com","security_documentation","true","","","2026-08-19","SAP SuccessFactors HCM","en-US",""
"sap_source_100","SAP Spend Management","https://www.sap.com/products/spend-management.html","sap.com","product_page","true","","","2026-08-19","SAP Ariba","en-US",""
"sap_source_101","Ariba Network is now SAP Business Network","https://www.sap.com/products/spend-management/ariba-network.html","sap.com","product_page","true","","","2026-08-19","SAP Ariba","en-US",""
"sap_source_102","SAP Ariba Sourcing","https://www.sap.com/products/spend-management/ariba-sourcing.html","sap.com","product_page","true","","","2026-08-19","SAP Ariba","en-US",""
"sap_source_103","SAP Ariba Contracts","https://www.sap.com/products/spend-management/contract-management.html","sap.com","product_page","true","","","2026-08-19","SAP Ariba","en-US",""
"sap_source_104","SAP Ariba Supplier Management","https://www.sap.com/products/spend-management/supplier-management.html","sap.com","product_page","true","","","2026-08-19","SAP Ariba","en-US",""
"sap_source_105","SAP Ariba Buying and Invoicing","https://www.sap.com/products/spend-management/procure-to-pay.html","sap.com","product_page","true","","","2026-08-19","SAP Ariba","en-US",""
"sap_source_106","SAP Ariba Catalog","https://www.sap.com/products/spend-management/ariba-catalog.html","sap.com","product_page","true","","","2026-08-19","SAP Ariba","en-US",""
"sap_source_107","SAP Ariba Invoicing","https://www.sap.com/products/spend-management/ariba-invoicing.html","sap.com","product_page","true","","","2026-08-19","SAP Ariba","en-US",""
"sap_source_108","SAP Ariba Spend Analysis","https://www.sap.com/products/spend-management/spend-analysis.html","sap.com","product_page","true","","","2026-08-19","SAP Ariba","en-US",""
"sap_source_109","Services Procurement in SAP Ariba","https://learning.sap.com/courses/procurement-process-overview/describing-the-procurement-of-services-in-sap-ariba","learning.sap.com","learning_content","true","","","2026-08-19","SAP Ariba","en-US",""
"sap_source_110","SAP Ariba APIs","https://help.sap.com/docs/ariba-apis","help.sap.com","api_documentation","true","","","2026-08-19","SAP Ariba","en-US",""
"sap_source_111","AI for Procurement","https://www.sap.com/products/spend-management/ai-for-procurement.html","sap.com","ai_page","true","","","2026-08-19","SAP Ariba","en-US",""
"sap_source_112","SAP Ariba Procurement Master Data Integration","https://learning.sap.com/courses/sap-ariba-integration-sap-ariba-integration-points/understanding-sap-ariba-procurement-master-data","learning.sap.com","integration_documentation","true","","","2026-08-19","SAP Ariba","en-US",""
"sap_source_113","SAP Ariba Sourcing Pricing","https://www.sap.com/products/spend-management/ariba-sourcing/pricing.html","sap.com","pricing_page","true","","","2026-08-19","SAP Ariba","en-US",""
"sap_source_114","SAP Ariba Architecture","https://learning.sap.com/courses/planning-end-to-end-deployment-of-sap-ariba-strategic-sourcing-suite/explaining-the-architecture","learning.sap.com","architecture_documentation","true","","","2026-08-19","SAP Ariba","en-US",""
"sap_source_115","SAP Datasphere","https://www.sap.com/products/data-cloud/datasphere.html","sap.com","product_page","true","","","2026-08-19","SAP Datasphere","en-US",""
"sap_source_116","Describing SAP Datasphere","https://learning.sap.com/courses/exploring-sap-datasphere/describing-sap-datasphere","learning.sap.com","learning_content","true","","","2026-08-19","SAP Datasphere","en-US",""
"sap_source_117","SAP Datasphere Help","https://help.sap.com/docs/SAP_DATASPHERE","help.sap.com","help_documentation","true","","","2026-08-19","SAP Datasphere","en-US",""
"sap_source_118","Integrating Data via Connections","https://help.sap.com/docs/SAP_DATASPHERE/be5967d099974c69b77f4549425ca4c0/eb85e157ab654152bd68a8714036e463.html","help.sap.com","help_documentation","true","","","2026-08-19","SAP Datasphere","en-US",""
"sap_source_119","Creating a Data Flow","https://help.sap.com/docs/SAP_DATASPHERE/c8a54ee704e94e15926551293243fd1d/e30fd1417e954577baae3246ea470c3f.html","help.sap.com","help_documentation","true","","","2026-08-19","SAP Datasphere","en-US",""
"sap_source_120","Replication Flows","https://help.sap.com/docs/SAP_DATASPHERE/6eb1eff34e4c4b1f90adfbfba1334240/a89011c96bfc1014a79e69594ccc91ad.html","help.sap.com","help_documentation","true","","","2026-08-19","SAP Datasphere","en-US",""
"sap_source_121","Administering SAP Datasphere","https://help.sap.com/docs/SAP_DATASPHERE/9f804b8efa8043539289f42f372c4862/70ee87c19d3b47459ac7f2c8d4fea48a.html","help.sap.com","security_documentation","true","","","2026-08-19","SAP Datasphere","en-US",""
"sap_source_122","Data Products in SAP Business Data Cloud","https://architecture.learning.sap.com/docs/ref-arch/4ab8f2","architecture.learning.sap.com","architecture_documentation","true","","","2026-08-19","SAP Datasphere","en-US",""
"sap_source_123","SAP Datasphere Business Content","https://help.sap.com/docs/SAP_DATASPHERE/6eb1eff34e4c4b1f90adfbfba1334240/a87964c26bfc1014a79e69594ccc91ad.html","help.sap.com","help_documentation","true","","","2026-08-19","SAP Datasphere","en-US",""
"sap_source_124","Consuming Data via OData API","https://help.sap.com/docs/SAP_DATASPHERE/43509d67b8b84e66a30851e832f66911/7a453609c8694b029493e7d87e0de60a.html","help.sap.com","api_documentation","true","","","2026-08-19","SAP Datasphere","en-US",""
"sap_source_125","SAP Analytics Cloud","https://www.sap.com/products/data-cloud/cloud-analytics.html","sap.com","product_page","true","","","2026-08-19","SAP Datasphere","en-US",""
"sap_source_126","SAP HANA Cloud","https://www.sap.com/products/data-cloud/hana.html","sap.com","product_page","true","","","2026-08-19","SAP Datasphere","en-US",""
"sap_source_127","Modernizing SAP BW with SAP Business Data Cloud","https://architecture.learning.sap.com/docs/ref-arch/6550e4","architecture.learning.sap.com","architecture_documentation","true","","","2026-08-19","SAP Datasphere","en-US",""
"sap_source_128","SAP Datasphere Pricing","https://www.sap.com/products/data-cloud/datasphere/pricing.html","sap.com","pricing_page","true","","","2026-08-19","SAP Datasphere","en-US",""
