"licensing_id","product_id","licensing_model","public_price_available","price_value","currency","price_unit","description","source_id","last_verified_at"
"sap_analytics_cloud_license_001_item","sap_analytics_cloud","SAP Business Data Cloud core capacity","false","","","capacity","SAC pode ser licenciado via capacidade core do SAP Business Data Cloud.","sap_source_146","2026-08-19"
"sap_analytics_cloud_license_002_item","sap_analytics_cloud","Flexible usage-based billing","false","","","usage-based","Cobrança flexível conforme condições comerciais.","sap_source_146","2026-08-19"
"sap_analytics_cloud_license_003_item","sap_analytics_cloud","User blocks","false","","","user","A página de pricing indica blocos de usuários e contratos de 3 a 12 meses.","sap_source_146","2026-08-19"
"sap_analytics_cloud_license_004_item","sap_analytics_cloud","Basic trial","true","0","USD","trial","Avaliação gratuita disponível na página oficial.","sap_source_147","2026-08-19"
"sap_signavio_license_001_item","sap_signavio","SAP Signavio subscription","false","","","subscription","Soluções são contratadas por assinatura conforme escopo.","sap_source_149","2026-08-19"
"sap_signavio_license_002_item","sap_signavio","Joule Base","false","","","subscription","Joule em Signavio é incluído com Joule Base, exigindo assinatura base.","sap_source_157","2026-08-19"
"sap_signavio_license_003_item","sap_signavio","Text to insight","false","","","feature","AI Units não são atualmente requeridas segundo a página do recurso; condição sujeita a mudança.","sap_source_154","2026-08-19"
"sap_business_network_license_001_item","sap_business_network","SAP Business Network subscription","false","","","subscription","Modelo e escopo dependem da solução e contrato.","sap_source_160","2026-08-19"
"sap_business_network_license_002_item","sap_business_network","Standard and enterprise accounts","false","","","account_tier","Contas e recursos variam por tipo de conta e papel.","sap_source_168","2026-08-19"
"sap_business_network_license_003_item","sap_business_network","Promote subscription","false","","","subscription","Recursos adicionais de catálogo e promoção podem exigir assinatura Promote.","sap_source_168","2026-08-19"
"sap_build_license_001_item","sap_build","SAP Build base user","true","9.21","USD","monthly_user","Edição base para acessar aplicações, insights e aprovar tarefas.","sap_source_184","2026-08-19"
"sap_build_license_002_item","sap_build","SAP Build premium user","true","9.21","USD","monthly_user","Inclui monitoramento, bots atendidos, workspaces e guided experiences; preço exibido na página de pricing consultada.","sap_source_184","2026-08-19"
"sap_build_license_003_item","sap_build","SAP Build developer","false","","","subscription","Inclui recursos de desenvolvimento, Joule for Developers, Joule Studio e ferramentas low-code/no-code.","sap_source_184","2026-08-19"
"sap_build_license_004_item","sap_build","30-day trial","true","","","trial","Trial básico de 30 dias para explorar o produto.","sap_source_185","2026-08-19"
