"industry_id","product_id","industry_name","application_description","use_case_id","source_id"
"sap_successfactors_industry_002_item","sap_successfactors","Manufacturing","Core HR, skills, aprendizagem, tempo e planejamento de força de trabalho.","","sap_source_080"
"sap_successfactors_industry_003_item","sap_successfactors","Retail","Recrutamento em volume, força de trabalho distribuída e aprendizagem.","","sap_source_080"
"sap_successfactors_industry_004_item","sap_successfactors","Professional Services","Talentos, skills, desempenho e mobilidade.","","sap_source_080"
"sap_successfactors_industry_005_item","sap_successfactors","Public Sector","Core HR, payroll e compliance conforme disponibilidade local.","","sap_source_080"
"sap_ariba_industry_001_item","sap_ariba","Cross-industry","Source-to-pay e supplier management aplicáveis a diferentes setores","","sap_source_100"
"sap_ariba_industry_002_item","sap_ariba","Manufacturing","Sourcing de materiais diretos e colaboração com fornecedores","","sap_source_102"
"sap_ariba_industry_003_item","sap_ariba","Public Sector","E-tendering e controles de procurement público conforme oferta","","sap_source_113"
"sap_ariba_industry_004_item","sap_ariba","Consumer Products","Categorias, fornecedores e materiais diretos","","sap_source_102"
"sap_ariba_industry_005_item","sap_ariba","Services","Aquisição e controle de serviços","","sap_source_109"
"sap_datasphere_industry_001_item","sap_datasphere","Cross-industry","Integra e governa dados para funções e setores diversos","","sap_source_115"
"sap_datasphere_industry_002_item","sap_datasphere","Manufacturing","Combina dados de operações, cadeia e finanças para analytics","","sap_source_115"
"sap_datasphere_industry_003_item","sap_datasphere","Financial Services","Unifica dados governados para decisões e requisitos de controle","","sap_source_115"
"sap_datasphere_industry_004_item","sap_datasphere","Retail","Integra dados de vendas, produtos e clientes para insights","","sap_source_115"
"sap_datasphere_industry_005_item","sap_datasphere","Public Sector","Organiza dados de diferentes domínios com governança","","sap_source_115"
"sap_analytics_cloud_industry_001_item","sap_analytics_cloud","Cross-industry","BI, planejamento e previsão aplicáveis a múltiplos setores.","","sap_source_131"
"sap_analytics_cloud_industry_002_item","sap_analytics_cloud","Financial Services","Planejamento, relatórios e análise de desempenho.","","sap_source_131"
"sap_analytics_cloud_industry_003_item","sap_analytics_cloud","Manufacturing","Análise e planejamento de demanda, produção e operações.","","sap_source_131"
"sap_analytics_cloud_industry_004_item","sap_analytics_cloud","Retail","Planejamento comercial e análise de vendas.","","sap_source_131"
"sap_analytics_cloud_industry_005_item","sap_analytics_cloud","Public Sector","Orçamento, planejamento e transparência analítica.","","sap_source_131"
"sap_signavio_industry_001_item","sap_signavio","Cross-industry","Gestão e melhoria de processos aplicáveis a qualquer setor.","","sap_source_149"
"sap_signavio_industry_002_item","sap_signavio","Manufacturing","Otimização de processos de supply chain e produção.","","sap_source_151"
"sap_signavio_industry_003_item","sap_signavio","Financial Services","Análise de processos, compliance e eficiência operacional.","","sap_source_151"
"sap_signavio_industry_004_item","sap_signavio","Retail","Jornadas, processos comerciais e operações.","","sap_source_149"
"sap_signavio_industry_005_item","sap_signavio","Public Sector","Padronização e governança de processos públicos.","","sap_source_150"
"sap_business_network_industry_001_item","sap_business_network","Cross-industry","Colaboração B2B e supply chain aplicável a diversos setores.","","sap_source_160"
"sap_business_network_industry_002_item","sap_business_network","Manufacturing","Colaboração de fornecedores, componentes, produção e ativos.","","sap_source_164"
"sap_business_network_industry_003_item","sap_business_network","Consumer Products","Conectividade e visibilidade de cadeia de consumo.","","sap_source_172"
"sap_business_network_industry_004_item","sap_business_network","Life Sciences","Rastreabilidade, qualidade e compliance entre parceiros.","","sap_source_172"
"sap_business_network_industry_005_item","sap_business_network","High Tech","Supply chain multiempresa e gestão de componentes.","","sap_source_172"
"sap_business_network_industry_006_item","sap_business_network","Industrial Manufacturing","Logística, ativos e manutenção colaborativa.","","sap_source_172"
"sap_build_industry_001_item","sap_build","Cross-industry","Desenvolvimento e automação aplicáveis a qualquer setor.","","sap_source_173"
"sap_build_industry_002_item","sap_build","Manufacturing","Extensões de operações, supply chain e chão de fábrica.","","sap_source_177"
"sap_build_industry_003_item","sap_build","Financial Services","Automação de aprovações e experiências reguladas.","","sap_source_175"
"sap_build_industry_004_item","sap_build","Public Sector","Digitalização de serviços e workflows públicos.","","sap_source_176"
"sap_build_industry_005_item","sap_build","Healthcare","Aplicações e processos com governança e integração.","","sap_source_178"
