"faq_id","product_id","difficulty_level","question","answer","source_ids","language_code"
"sap_btp_faq_003","sap_btp","basic","Para que serve SAP BTP?","Serve para criar e estender aplicações, integrar sistemas, automatizar processos, trabalhar com dados e desenvolver soluções e agentes de IA com governança.","sap_source_026;sap_source_028","pt-BR"
"sap_btp_faq_004","sap_btp","basic","Quais são as principais áreas do SAP BTP?","As áreas documentadas incluem desenvolvimento de agentes e aplicações, integração, fundação de IA e dados e capacidades centrais de plataforma.","sap_source_034;sap_source_038","pt-BR"
"sap_btp_faq_005","sap_btp","basic","SAP BTP é apenas para desenvolvedores?","Não. Desenvolvedores, arquitetos, administradores e operadores trabalham na plataforma; usuários de negócio consomem aplicações e serviços implantados nela.","sap_source_037","pt-BR"
"sap_btp_faq_006","sap_btp","intermediate","O que é um subaccount no SAP BTP?","É uma unidade do global account associada a uma região, onde ambientes, aplicações, serviços, autorizações e quotas são configurados.","sap_source_037","pt-BR"
"sap_btp_faq_007","sap_btp","intermediate","Quais runtimes estão disponíveis?","A documentação destaca ambientes Cloud Foundry, Kyma e ABAP, cada um com ferramentas e modelos de desenvolvimento específicos.","sap_source_031;sap_source_040;sap_source_042","pt-BR"
"sap_btp_faq_008","sap_btp","intermediate","Como SAP BTP apoia clean core?","Permite desenvolver extensões side-by-side com SAP Build, ABAP Cloud, CAP e runtimes cloud-native, reduzindo alterações no núcleo das aplicações.","sap_source_039;sap_source_042","pt-BR"
"sap_btp_faq_009","sap_btp","intermediate","Como SAP BTP integra sistemas?","SAP Integration Suite conecta aplicações, dados, APIs, eventos, agentes e processos em cenários SAP, de terceiros, cloud e on-premise.","sap_source_035;sap_source_041","pt-BR"
"sap_btp_faq_010","sap_btp","intermediate","Quais modelos comerciais existem?","A SAP publica Pay-As-You-Go, SAP BTP Enterprise Agreement, Subscription, free tier e trial não comercial de 90 dias.","sap_source_029;sap_source_044","pt-BR"
"sap_btp_faq_011","sap_btp","specific","Como criar agentes de IA no SAP BTP?","É possível usar Joule Studio para agentes low-code ou SAP Cloud SDK for AI e frameworks pro-code executados em Cloud Foundry ou Kyma.","sap_source_046","pt-BR"
"sap_btp_faq_012","sap_btp","specific","Como SAP BTP suporta RAG?","Generative AI Hub fornece acesso e orquestração de modelos, enquanto SAP HANA Cloud Vector Engine realiza busca de similaridade para recuperar contexto.","sap_source_046","pt-BR"
"sap_btp_faq_013","sap_btp","specific","Como identidades e autorizações são gerenciadas?","SAP Cloud Identity Services fornece federação e autenticação via OIDC ou SAML 2.0; role collections e serviços de autorização controlam permissões.","sap_source_037;sap_source_043;sap_source_047","pt-BR"
"sap_btp_faq_014","sap_btp","specific","SAP BTP suporta cenários híbridos e multicloud?","Sim. A plataforma opera em regiões sobre SAP e hyperscalers e conecta runtimes cloud a sistemas on-premise e private cloud.","sap_source_037;sap_source_041","pt-BR"
"sap_btp_faq_015","sap_btp","specific","O SAP BTP possui preços públicos fixos?","O modelo geral é baseado em consumo ou assinatura, mas o preço efetivo depende dos serviços e planos escolhidos. A SAP fornece estimativa de uso no SAP Discovery Center.","sap_source_029","pt-BR"
"sap_s4hana_faq_001_o_que_e_sap_s_4hana","sap_s4hana","basic","O que é SAP S/4HANA?","É a suite ERP de nova geração da SAP, baseada no banco SAP HANA, que integra processos empresariais e analytics em tempo real.","sap_source_056;sap_source_057","pt-BR"
"sap_s4hana_faq_002_sap_s_4hana_substitui_sap_ecc","sap_s4hana","basic","SAP S/4HANA substitui SAP ECC?","Sim. A SAP apresenta SAP S/4HANA como a geração sucessora do SAP ERP Central Component.","sap_source_057","pt-BR"
"sap_s4hana_faq_003_quais_sao_as_formas_de_implantacao","sap_s4hana","basic","Quais são as formas de implantação?","Public Edition, Private Edition e on-premise; também podem existir arquiteturas híbridas ou two-tier.","sap_source_057;sap_source_070","pt-BR"
"sap_s4hana_faq_004_o_que_e_sap_cloud_erp","sap_s4hana","basic","O que é SAP Cloud ERP?","É o termo comercial atual da solução cloud ERP ready-to-run cuja aplicação fundamental é SAP S/4HANA Cloud Public Edition.","sap_source_054;sap_source_057","pt-BR"
"sap_s4hana_faq_005_o_que_e_sap_cloud_erp_private","sap_s4hana","basic","O que é SAP Cloud ERP Private?","É o termo comercial atual da oferta cloud ERP dedicada e flexível baseada em SAP S/4HANA Cloud Private Edition.","sap_source_055;sap_source_057","pt-BR"
"sap_s4hana_faq_006_qual_e_a_diferenca_entre_public_e_private_edi","sap_s4hana","intermediate","Qual é a diferença entre Public e Private Edition?","Public Edition é multitenant, mais padronizada e atualizada automaticamente; Private Edition é dedicada, oferece maior flexibilidade e segue ciclo de releases controlado dentro da manutenção.","sap_source_057","pt-BR"
"sap_s4hana_faq_007_sap_s_4hana_funciona_sem_sap_hana","sap_s4hana","intermediate","SAP S/4HANA funciona sem SAP HANA?","Não. SAP HANA é a base de dados obrigatória da arquitetura SAP S/4HANA.","sap_source_057","pt-BR"
"sap_s4hana_faq_008_como_sap_btp_se_relaciona_com_sap_s_4hana","sap_s4hana","intermediate","Como SAP BTP se relaciona com SAP S/4HANA?","SAP BTP fornece integração, extensões side-by-side, automação, dados e IA para ampliar o ERP mantendo clean core.","sap_source_060;sap_source_061","pt-BR"
"sap_s4hana_faq_009_o_que_significa_clean_core","sap_s4hana","intermediate","O que significa clean core?","É manter o núcleo próximo ao padrão e criar extensões estáveis para upgrade por mecanismos suportados, reduzindo dívida técnica.","sap_source_060","pt-BR"
"sap_s4hana_faq_010_sap_s_4hana_possui_analytics_incorporado","sap_s4hana","intermediate","SAP S/4HANA possui analytics incorporado?","Sim. Embedded analytics usa dados e modelos semânticos do próprio ERP para KPIs e análises contextuais.","sap_source_054;sap_source_057","pt-BR"
"sap_s4hana_faq_011_ha_uma_avaliacao_gratuita","sap_s4hana","intermediate","Há uma avaliação gratuita?","A Public Edition oferece trial básico de 30 dias, com dados de demonstração e escopo funcional limitado.","sap_source_076","pt-BR"
"sap_s4hana_faq_012_qual_e_o_ciclo_de_releases_da_public_edition","sap_s4hana","specific","Qual é o ciclo de releases da Public Edition?","A documentação de aprendizado informa duas atualizações principais por ano, normalmente em fevereiro e agosto, instaladas pela SAP.","sap_source_057","pt-BR"
"sap_s4hana_faq_013_qual_e_o_ciclo_da_private_edition_e_on_premis","sap_s4hana","specific","Qual é o ciclo da Private Edition e on-premise?","A partir da linha 2023, há release principal a cada dois anos e feature pack stacks intermediários; condições de manutenção e operação diferem.","sap_source_057;sap_source_064","pt-BR"
"sap_s4hana_faq_014_rise_with_sap_e_grow_with_sap_sao_produtos_te","sap_s4hana","specific","RISE with SAP e GROW with SAP são produtos técnicos?","São ofertas comerciais. GROW tem a Public Edition no núcleo; RISE pode incluir SAP Cloud ERP ou SAP Cloud ERP Private.","sap_source_078;sap_source_079","pt-BR"
"sap_s4hana_faq_015_os_precos_sao_publicos","sap_s4hana","specific","Os preços são públicos?","Não há preço único público estável: valores dependem de edição, usuários, escopo, infraestrutura, serviços e contrato.","sap_source_054;sap_source_055","pt-BR"
"sap_successfactors_faq_001_o_que_e_sap_successfactors_hcm","sap_successfactors","basic","O que é SAP SuccessFactors HCM?","Suite HCM em nuvem para core HR, payroll, talentos, analytics e experiência.","sap_source_080;sap_source_081","pt-BR"
"sap_successfactors_faq_002_successfactors_e_somente_para_grandes_","sap_successfactors","basic","SuccessFactors é somente para grandes empresas?","Não. A SAP oferece opções para organizações de diferentes portes, incluindo SAP GROW for HCM.","sap_source_080","pt-BR"
"sap_successfactors_faq_003_pode_funcionar_sem_sap_s_4hana","sap_successfactors","basic","Pode funcionar sem SAP S/4HANA?","Sim. A suite pode operar como solução cloud independente e também integrar-se ao ERP.","sap_source_097","pt-BR"
"sap_successfactors_faq_004_quais_sao_os_principais_modulos","sap_successfactors","basic","Quais são os principais módulos?","Employee Central, Payroll, Recruiting, Onboarding, Performance & Goals, Compensation, Learning, Career Development e People Analytics.","sap_source_083;sap_source_084;sap_source_085;sap_source_086;sap_source_087;sap_source_088;sap_source_089;sap_source_090;sap_source_091","pt-BR"
"sap_successfactors_faq_005_o_que_e_employee_central","sap_successfactors","intermediate","O que é Employee Central?","É o core HR global para dados de pessoas, estruturas e processos.","sap_source_083","pt-BR"
"sap_successfactors_faq_006_como_funciona_a_seguranca","sap_successfactors","intermediate","Como funciona a segurança?","A suite usa Role-Based Permissions, federação de identidade, auditoria e configurações de privacidade.","sap_source_093;sap_source_096;sap_source_099","pt-BR"
"sap_successfactors_faq_007_como_joule_e_usado","sap_successfactors","intermediate","Como Joule é usado?","Joule responde perguntas e apoia tarefas de RH; alguns recursos exigem Joule Premium e AI Units.","sap_source_080;sap_source_084;sap_source_098","pt-BR"
"sap_successfactors_faq_008_successfactors_learning_e_o_mesmo_que_","sap_successfactors","intermediate","SuccessFactors Learning é o mesmo que SAP Learning Hub?","Não. Learning é um LMS implantado para colaboradores; Learning Hub ensina clientes a usar software SAP.","sap_source_089","pt-BR"
"sap_successfactors_faq_009_como_integra_com_sap_s_4hana","sap_successfactors","intermediate","Como integra com SAP S/4HANA?","Integra dados organizacionais e de pessoas a cenários de ERP e finanças.","sap_source_094","pt-BR"
"sap_successfactors_faq_010_ha_trial_gratuito","sap_successfactors","intermediate","Há trial gratuito?","Sim, trial básico de 30 dias em inglês, compartilhado e com escopo limitado.","sap_source_097","pt-BR"
"sap_successfactors_faq_011_o_que_mudou_no_nome_da_suite","sap_successfactors","specific","O que mudou no nome da suite?","A SAP usa atualmente SAP SuccessFactors HCM; HXM Suite permanece em identificadores e materiais anteriores.","sap_source_080;sap_source_081;sap_source_082","pt-BR"
"sap_successfactors_faq_012_o_que_e_talent_intelligence_hub","sap_successfactors","specific","O que é Talent Intelligence Hub?","É a base de skills e atributos que conecta decisões e experiências de talento.","sap_source_090","pt-BR"
"sap_successfactors_faq_013_quais_logs_existem","sap_successfactors","specific","Quais logs existem?","Há logs de leitura, alteração e auditoria, com disponibilidade e cobertura documentadas pela SAP.","sap_source_099","pt-BR"
"sap_successfactors_faq_014_smartrecruiters_substituiu_recruiting","sap_successfactors","specific","SmartRecruiters substituiu Recruiting?","A SAP apresenta SmartRecruiters for SAP SuccessFactors como plataforma abrangente integrada; detalhes de transição devem ser confirmados por contrato e roadmap.","sap_source_080","pt-BR"
"sap_successfactors_faq_015_os_precos_sao_publicos","sap_successfactors","specific","Os preços são públicos?","Não há preço único estável; pacotes, usuários, módulos e IA influenciam a cotação.","sap_source_080;sap_source_084","pt-BR"
"sap_ariba_faq_001_o_que_e_sap_ariba","sap_ariba","basic","O que é SAP Ariba?","Portfólio cloud da SAP para sourcing, contratos, fornecedores, compras, faturas e análise de gastos.","sap_source_100","pt-BR"
"sap_ariba_faq_002_ariba_network_ainda_e_o_nome_atual","sap_ariba","basic","Ariba Network ainda é o nome atual?","Não. A rede passou a se chamar SAP Business Network.","sap_source_101","pt-BR"
"sap_ariba_faq_003_o_que_e_sap_ariba_buying_and_invoic","sap_ariba","basic","O que é SAP Ariba Buying and Invoicing?","Solução procure-to-pay para compras guiadas, pedidos, recebimentos e faturas.","sap_source_105","pt-BR"
"sap_ariba_faq_004_o_que_e_guided_buying","sap_ariba","basic","O que é guided buying?","Experiência que orienta usuários a opções e canais alinhados às políticas.","sap_source_105","pt-BR"
"sap_ariba_faq_005_como_sap_ariba_integra_com_s_4hana","sap_ariba","intermediate","Como SAP Ariba integra com S/4HANA?","Integra dados mestre e transacionais como fornecedores, pedidos, recebimentos e faturas.","sap_source_112","pt-BR"
"sap_ariba_faq_006_qual_a_diferenca_entre_ariba_e_busi","sap_ariba","intermediate","Qual a diferença entre Ariba e Business Network?","Ariba executa processos de procurement; Business Network conecta parceiros para colaboração.","sap_source_101","pt-BR"
"sap_ariba_faq_007_sap_ariba_possui_ia","sap_ariba","intermediate","SAP Ariba possui IA?","Sim. Joule, agentes, automação de sourcing, classificação de gastos e invoice automation estão disponíveis conforme solução.","sap_source_111;sap_source_102;sap_source_107;sap_source_108","pt-BR"
"sap_ariba_faq_008_como_fornecedores_participam","sap_ariba","intermediate","Como fornecedores participam?","Fornecedores usam contas do SAP Business Network para propostas, pedidos, faturas e colaboração.","sap_source_101","pt-BR"
"sap_ariba_faq_009_ha_apis","sap_ariba","intermediate","Há APIs?","Sim. SAP Ariba disponibiliza APIs para procurement, sourcing e supplier management.","sap_source_110","pt-BR"
"sap_ariba_faq_010_o_que_e_um_realm","sap_ariba","specific","O que é um realm?","É o site lógico provisionado para uma solução Ariba em um data center.","sap_source_114","pt-BR"
"sap_ariba_faq_011_o_preco_e_publico","sap_ariba","specific","O preço é público?","Em geral é sob consulta; métricas variam por solução, usuário, gasto e contrato.","sap_source_113","pt-BR"
"sap_ariba_faq_012_sap_ariba_substitui_o_erp","sap_ariba","specific","SAP Ariba substitui o ERP?","Não. Ariba especializa source-to-pay e integra-se ao ERP para processos financeiros e logísticos.","sap_source_112","pt-BR"
"sap_datasphere_faq_001_o_que_e_sap_datasphere","sap_datasphere","basic","O que é SAP Datasphere?","É um serviço cloud para integração, catálogo, modelagem semântica, data warehousing, federação e virtualização de dados.","sap_source_115;sap_source_116","pt-BR"
"sap_datasphere_faq_002_sap_datasphere_substituiu_sap_data_","sap_datasphere","basic","SAP Datasphere substituiu SAP Data Warehouse Cloud?","Sim. SAP Datasphere é a evolução do SAP Data Warehouse Cloud.","sap_source_116","pt-BR"
"sap_datasphere_faq_003_datasphere_foi_substituido_pelo_sap","sap_datasphere","basic","Datasphere foi substituído pelo SAP Business Data Cloud?","Não. Datasphere continua como componente central do SAP Business Data Cloud.","sap_source_115","pt-BR"
"sap_datasphere_faq_004_quais_dados_ele_conecta","sap_datasphere","basic","Quais dados ele conecta?","Dados SAP e de terceiros, em ambientes on-premise e cloud, conforme conexões suportadas.","sap_source_117;sap_source_118","pt-BR"
"sap_datasphere_faq_005_o_que_e_um_space","sap_datasphere","intermediate","O que é um space?","É um contêiner usado para organizar recursos, dados, armazenamento e permissões.","sap_source_121","pt-BR"
"sap_datasphere_faq_006_o_que_e_a_camada_semantica","sap_datasphere","intermediate","O que é a camada semântica?","É a camada que adiciona significado, relações e métricas de negócio aos dados.","sap_source_115","pt-BR"
"sap_datasphere_faq_007_como_os_dados_chegam_ao_datasphere","sap_datasphere","intermediate","Como os dados chegam ao Datasphere?","Por connections, data flows, replication flows, federação e virtualização, conforme o cenário.","sap_source_118;sap_source_119;sap_source_120","pt-BR"
"sap_datasphere_faq_008_datasphere_integra_com_sap_analytic","sap_datasphere","intermediate","Datasphere integra com SAP Analytics Cloud?","Sim. Dados modelados podem ser consumidos para analytics e planejamento.","sap_source_125","pt-BR"
"sap_datasphere_faq_009_ha_apis_para_consumir_dados","sap_datasphere","intermediate","Há APIs para consumir dados?","Sim. Objetos compatíveis podem ser consumidos via OData com as permissões necessárias.","sap_source_124","pt-BR"
"sap_datasphere_faq_010_como_se_relaciona_com_sap_hana_clou","sap_datasphere","intermediate","Como se relaciona com SAP HANA Cloud?","Datasphere é serviço de gestão e semântica; HANA Cloud é banco de dados cloud complementar.","sap_source_126","pt-BR"
"sap_datasphere_faq_011_como_e_licenciado","sap_datasphere","specific","Como é licenciado?","Para novos clientes, a licença ocorre via capacidade core do SAP Business Data Cloud.","sap_source_128","pt-BR"
"sap_datasphere_faq_012_ha_trial","sap_datasphere","specific","Há trial?","Sim, trial básico de 30 dias com tour, exercícios e dados de amostra.","sap_source_129","pt-BR"
"sap_datasphere_faq_013_datasphere_pode_apoiar_ia","sap_datasphere","specific","Datasphere pode apoiar IA?","Sim. Semântica, integração e data products formam contexto confiável para analytics e IA.","sap_source_115;sap_source_130","pt-BR"
"sap_datasphere_faq_014_o_que_e_data_product","sap_datasphere","specific","O que é data product?","É um ativo de dados reutilizável, com metadados e contexto, disponibilizado para compartilhamento e consumo.","sap_source_122","pt-BR"
"sap_analytics_cloud_faq_001_o_que_e_sap_analytics_cloud","sap_analytics_cloud","basic","O que é SAP Analytics Cloud?","É uma solução SaaS que combina BI, analytics, planejamento e capacidades preditivas.","sap_source_131;sap_source_132","pt-BR"
"sap_analytics_cloud_faq_002_sac_e_apenas_uma_ferramenta_de_dash","sap_analytics_cloud","basic","SAC é apenas uma ferramenta de dashboards?","Não. Também inclui planejamento empresarial, previsão, colaboração e analytic applications.","sap_source_131;sap_source_132;sap_source_134","pt-BR"
"sap_analytics_cloud_faq_003_sac_faz_parte_do_sap_business_data_","sap_analytics_cloud","basic","SAC faz parte do SAP Business Data Cloud?","Sim. É a solução de analytics e planejamento dentro do SAP Business Data Cloud.","sap_source_140","pt-BR"
"sap_analytics_cloud_faq_004_o_que_e_uma_story","sap_analytics_cloud","basic","O que é uma story?","É um artefato analítico que reúne visualizações, tabelas, filtros e dados.","sap_source_132","pt-BR"
"sap_analytics_cloud_faq_005_o_que_e_live_connection","sap_analytics_cloud","intermediate","O que é live connection?","É uma conexão que analisa dados em tempo real mantendo-os na origem.","sap_source_135","pt-BR"
"sap_analytics_cloud_faq_006_sac_integra_com_datasphere","sap_analytics_cloud","intermediate","SAC integra com Datasphere?","Sim. Datasphere fornece dados e semântica governada para analytics e planejamento.","sap_source_139","pt-BR"
"sap_analytics_cloud_faq_007_sac_integra_com_s_4hana","sap_analytics_cloud","intermediate","SAC integra com S/4HANA?","Sim. Pode analisar e planejar sobre cenários de ERP por integrações e conteúdo compatíveis.","sap_source_141","pt-BR"
"sap_analytics_cloud_faq_008_o_que_e_analytics_designer","sap_analytics_cloud","intermediate","O que é Analytics Designer?","É o ambiente para construir aplicações analíticas avançadas e customizadas.","sap_source_134","pt-BR"
"sap_analytics_cloud_faq_009_sac_tem_planejamento","sap_analytics_cloud","intermediate","SAC tem planejamento?","Sim. Unifica planejamento financeiro, supply chain e operacional em uma solução.","sap_source_131","pt-BR"
"sap_analytics_cloud_faq_010_sac_usa_ia","sap_analytics_cloud","intermediate","SAC usa IA?","Sim. Inclui analytics aumentado, predição e Joule em cenários compatíveis.","sap_source_132;sap_source_138;sap_source_142","pt-BR"
"sap_analytics_cloud_faq_011_como_sac_e_licenciado","sap_analytics_cloud","specific","Como SAC é licenciado?","A página atual informa licença por capacidade core do SAP Business Data Cloud, com condições por usuários e contrato.","sap_source_146","pt-BR"
"sap_analytics_cloud_faq_012_ha_avaliacao_gratuita","sap_analytics_cloud","specific","Há avaliação gratuita?","Sim. A SAP disponibiliza uma página oficial de trial gratuita.","sap_source_147","pt-BR"
"sap_analytics_cloud_faq_013_sac_substitui_sap_datasphere","sap_analytics_cloud","specific","SAC substitui SAP Datasphere?","Não. Datasphere gerencia e modela dados; SAC é a camada de analytics e planejamento.","sap_source_139","pt-BR"
"sap_analytics_cloud_faq_014_sac_substitui_bpc","sap_analytics_cloud","specific","SAC substitui BPC?","SAC é a solução cloud atual para planejamento, com recursos e orientação de migração de BPC.","sap_source_148","pt-BR"
"sap_signavio_faq_001_o_que_e_sap_signavio","sap_signavio","basic","O que é SAP Signavio?","É a suíte SAP para modelar, analisar, transformar e governar processos empresariais.","sap_source_149","pt-BR"
"sap_signavio_faq_002_o_que_e_process_mining","sap_signavio","basic","O que é process mining?","É a análise de logs de eventos para entender como os processos realmente são executados.","sap_source_151","pt-BR"
"sap_signavio_faq_003_signavio_e_o_mesmo_que_leanix","sap_signavio","basic","Signavio é o mesmo que LeanIX?","Não. Signavio foca processos; LeanIX foca arquitetura e portfólio de TI.","sap_source_149","pt-BR"
"sap_signavio_faq_004_quais_sao_os_principais_componentes","sap_signavio","basic","Quais são os principais componentes?","Process Manager, Process Intelligence, Collaboration Hub, Journey Modeler e Process Governance.","sap_source_149;sap_source_150;sap_source_151","pt-BR"
"sap_signavio_faq_005_o_que_e_sap_signavio_process_manage","sap_signavio","intermediate","O que é SAP Signavio Process Manager?","É a solução cloud para documentar, modelar, desenhar e simular processos.","sap_source_150","pt-BR"
"sap_signavio_faq_006_o_que_e_sap_signavio_process_intell","sap_signavio","intermediate","O que é SAP Signavio Process Intelligence?","É a capacidade de process mining e análise de desempenho de processos.","sap_source_151","pt-BR"
"sap_signavio_faq_007_signavio_integra_com_s_4hana","sap_signavio","intermediate","Signavio integra com S/4HANA?","Sim. É usado em cenários de transformação e pode analisar dados de processos ERP.","sap_source_149;sap_source_151","pt-BR"
"sap_signavio_faq_008_signavio_possui_ia","sap_signavio","intermediate","Signavio possui IA?","Sim. Inclui Joule, agentes, text to process, text to insight e recomendações conforme disponibilidade.","sap_source_152;sap_source_153;sap_source_154;sap_source_155","pt-BR"
"sap_signavio_faq_009_o_que_e_text_to_process","sap_signavio","intermediate","O que é text to process?","É a geração de diagrama BPMN a partir de uma descrição textual.","sap_source_153","pt-BR"
"sap_signavio_faq_010_o_que_e_text_to_insight","sap_signavio","intermediate","O que é text to insight?","É a consulta de dados de processo em linguagem natural para obter insights.","sap_source_154","pt-BR"
"sap_signavio_faq_011_joule_exige_licenca_separada","sap_signavio","specific","Joule exige licença separada?","A página de Joule para Signavio informa que é incluído com Joule Base, exigindo assinatura Joule Base e o produto base.","sap_source_157","pt-BR"
"sap_signavio_faq_012_signavio_substitui_sap_build_proces","sap_signavio","specific","Signavio substitui SAP Build Process Automation?","Não. Signavio analisa e modela processos; Build Process Automation executa automações.","sap_source_149","pt-BR"
"sap_signavio_faq_013_signavio_substitui_walkme","sap_signavio","specific","Signavio substitui WalkMe?","Não. Signavio apoia transformação de processos; WalkMe apoia adoção digital no uso de software.","sap_source_149","pt-BR"
"sap_signavio_faq_014_como_o_preco_e_definido","sap_signavio","specific","Como o preço é definido?","O preço depende de soluções, escopo e contrato; páginas de recursos indicam preço sob consulta.","sap_source_154;sap_source_157","pt-BR"
"sap_business_network_faq_001_o_que_e_sap_business_network","sap_business_network","basic","O que é SAP Business Network?","É uma oferta cloud que conecta compradores, fornecedores e outros parceiros para colaboração em procurement e supply chain.","sap_source_160","pt-BR"
"sap_business_network_faq_002_sap_business_network_e_o_mesmo_que_","sap_business_network","basic","SAP Business Network é o mesmo que SAP Ariba?","Não. Ariba é um portfólio de spend e procurement; Business Network é a rede de colaboração multiempresa.","sap_source_162","pt-BR"
"sap_business_network_faq_003_ariba_network_ainda_e_o_nome_atual","sap_business_network","basic","Ariba Network ainda é o nome atual?","Não. Ariba Network é o nome anterior da rede de procurement; o nome atual é SAP Business Network.","sap_source_162","pt-BR"
"sap_business_network_faq_004_quais_solucoes_fazem_parte_da_rede","sap_business_network","basic","Quais soluções fazem parte da rede?","Procurement, Supply Chain, Logistics, Asset Collaboration, Discovery e recursos de rastreabilidade.","sap_source_160;sap_source_164;sap_source_165;sap_source_161","pt-BR"
"sap_business_network_faq_005_integra_com_sap_s_4hana","sap_business_network","intermediate","Integra com SAP S/4HANA?","Sim. A rede conecta processos de procurement e supply chain do S/4HANA a parceiros externos.","sap_source_166","pt-BR"
"sap_business_network_faq_006_integra_com_sistemas_nao_sap","sap_business_network","intermediate","Integra com sistemas não SAP?","Sim. A rede foi desenhada para conectar sistemas SAP e de terceiros conforme o cenário de integração.","sap_source_166;sap_source_171","pt-BR"
"sap_business_network_faq_007_o_que_e_business_network_assistant","sap_business_network","intermediate","O que é Business Network Assistant?","É um assistente de IA que apoia colaboração entre compradores, fornecedores e parceiros em procurement e supply chain.","sap_source_170","pt-BR"
"sap_business_network_faq_008_quais_agentes_de_ia_existem","sap_business_network","intermediate","Quais agentes de IA existem?","Entre os agentes documentados estão onboarding, confirmação de pedido, insights logísticos, ASN, análise de impacto e alinhamento de manutenção.","sap_source_170","pt-BR"
"sap_business_network_faq_009_o_produto_substitui_sap_ariba","sap_business_network","specific","O produto substitui SAP Ariba?","Não. Ele complementa o portfólio Ariba ao conectar organizações e transações entre empresas.","sap_source_162","pt-BR"
