"use_case_id","product_id","use_case_name","situation","how_product_is_used","expected_result","business_area","industry","source_id","language_code"
"sap_btp_use_case_003_hr_mobile","sap_btp","Aplicativo móvel para RH","RH precisa oferecer uma experiência móvel adequada aos funcionários.","Usa SAP Build para criar aplicativo low-code integrado ao cenário existente.","Processos de RH simplificados e acessíveis.","Recursos humanos","","sap_source_033","pt-BR"
"sap_btp_use_case_004_hybrid_integration","sap_btp","Integração de landscape híbrido","Aplicações SAP, não SAP, cloud e on-premise precisam trocar dados e eventos.","Usa SAP Integration Suite, APIs, eventos e conectividade segura.","Processos conectados e menor integração ponto a ponto.","TI e integração","","sap_source_035","pt-BR"
"sap_btp_use_case_005_ai_agents","sap_btp","Agentes de IA empresariais","A organização quer agentes que atuem em processos com governança.","Cria agentes low-code com Joule Studio ou pro-code com SAP Cloud SDK for AI e SAP AI Core.","Agentes contextualizados, integrados e auditáveis.","IA e desenvolvimento","","sap_source_046","pt-BR"
"sap_btp_use_case_006_rag","sap_btp","Aplicações RAG com dados empresariais","Uma aplicação precisa responder usando contexto e documentos corporativos.","Combina Generative AI Hub, SAP HANA Cloud Vector Engine e integração de dados.","Respostas fundamentadas em dados empresariais.","Dados e IA","","sap_source_046","pt-BR"
"sap_btp_use_case_007_onboarding","sap_btp","Automação de equipamentos de onboarding","RH e TI precisam automatizar pedidos de equipamentos para novos funcionários.","Integra eventos e workflows entre sistemas.","Menos tarefas manuais e início mais rápido do funcionário.","RH e TI","","sap_source_033","pt-BR"
"sap_btp_use_case_008_devops","sap_btp","DevOps para extensões SAP","Times precisam qualificar, transportar, implantar e monitorar mudanças.","Usa CI/CD, transport management, Cloud ALM, logging e automação.","Entrega controlada e observável.","TI e operações","","sap_source_049","pt-BR"
"sap_btp_use_case_009_identity","sap_btp","Federação central de identidades","A empresa precisa autenticar administradores, desenvolvedores e usuários de aplicações.","Configura confiança com SAP Cloud Identity Services usando OIDC ou SAML 2.0.","Acesso centralizado e funções controladas.","Segurança e TI","","sap_source_043","pt-BR"
"sap_btp_use_case_010_event_actions","sap_btp","Eventos para ações de negócio","Eventos externos precisam acionar decisões em sistemas empresariais.","Combina Event Mesh, SAP Build Process Automation, SAP HANA Cloud e conectividade.","Ações automatizadas e orientadas por eventos.","Integração e operações","","sap_source_048","pt-BR"
"sap_s4hana_record_to_report","sap_s4hana","Record-to-report","Empresa precisa fechar e consolidar resultados.","Integra lançamentos, reconciliações, fechamento e relatórios.","Fechamento mais controlado e informação financeira atual.","Finance","Cross-industry","sap_source_054","pt-BR"
"sap_s4hana_procure_to_pay","sap_s4hana","Procure-to-pay","Compras precisam de controle do pedido ao pagamento.","Orquestra requisição, pedido, recebimento e fatura.","Mais conformidade e visibilidade de gastos.","Procurement","Cross-industry","sap_source_065","pt-BR"
"sap_s4hana_order_to_cash","sap_s4hana","Order-to-cash","Pedidos de clientes atravessam vendas, logística e finanças.","Conecta cotação, pedido, disponibilidade, entrega e faturamento.","Execução comercial integrada e receita rastreável.","Sales","Cross-industry","sap_source_066","pt-BR"
"sap_s4hana_plan_to_produce","sap_s4hana","Plan-to-produce","Fabricante precisa alinhar demanda e produção.","Planeja necessidades, ordens e execução fabril.","Melhor uso de materiais e capacidade.","Manufacturing","Manufacturing","sap_source_067","pt-BR"
"sap_s4hana_inventory_management","sap_s4hana","Inventory management","Operação necessita precisão de estoque.","Registra movimentações, disponibilidade e valuation em tempo real.","Menos rupturas e melhor capital de giro.","Supply Chain","Cross-industry","sap_source_054","pt-BR"
"sap_s4hana_maintenance_execution","sap_s4hana","Maintenance execution","Ativos críticos precisam de manutenção planejada.","Gerencia notificações, ordens, recursos e histórico técnico.","Maior disponibilidade e menor risco operacional.","Asset Management","Asset-intensive","sap_source_068","pt-BR"
"sap_s4hana_service_delivery","sap_s4hana","Service delivery","Empresa presta serviços e precisa controlar execução e margem.","Integra solicitação, contrato, ordem, peças, esforço e faturamento.","Atendimento consistente e rentabilidade visível.","Service","Services","sap_source_069","pt-BR"
"sap_s4hana_real_time_operational_analytics","sap_s4hana","Real-time operational analytics","Gestores precisam agir com dados atuais.","Usa KPIs e relatórios incorporados sobre dados transacionais.","Decisões mais rápidas e contextualizadas.","Management","Cross-industry","sap_source_054","pt-BR"
"sap_s4hana_erp_modernization","sap_s4hana","ERP modernization","Cliente SAP ECC precisa modernizar o núcleo.","Converte o sistema ou implementa novo landscape S/4HANA.","Modelo de dados moderno e acesso contínuo a inovação.","IT","Cross-industry","sap_source_064","pt-BR"
"sap_s4hana_two_tier_erp","sap_s4hana","Two-tier ERP","Grupo possui subsidiárias com necessidades distintas.","Combina ERP corporativo com Public Edition em unidades selecionadas.","Padronização com agilidade local.","IT","Cross-industry","sap_source_070","pt-BR"
"sap_s4hana_global_rollout","sap_s4hana","Global rollout","Empresa opera em vários países.","Configura processos, moedas, idiomas e localizações.","Escala internacional com governança.","Operations","Cross-industry","sap_source_055","pt-BR"
"sap_s4hana_clean_core_extension","sap_s4hana","Clean core extension","Processo diferenciador exige extensão.","Usa APIs, eventos e SAP BTP sem alterar objetos críticos.","Inovação com menor impacto em upgrades.","IT","Cross-industry","sap_source_060","pt-BR"
"sap_successfactors_usecase_001_item","sap_successfactors","Hire-to-retire","Administrar todo o ciclo do colaborador","Conecta recrutamento, core HR, desenvolvimento, remuneração e saída","Ciclo integrado e dados consistentes","HR","Cross-industry","sap_source_080","pt-BR"
"sap_successfactors_usecase_002_item","sap_successfactors","Global HR master data","Empresa opera em vários países","Employee Central mantém dados, estruturas e workflows","Fonte global de dados de pessoas","Core HR","Cross-industry","sap_source_083","pt-BR"
"sap_successfactors_usecase_003_item","sap_successfactors","Payroll processing","Organização precisa pagar corretamente","Employee Central Payroll calcula e processa folha","Pagamentos pontuais e auditáveis","Payroll","Cross-industry","sap_source_084","pt-BR"
"sap_successfactors_usecase_004_item","sap_successfactors","Recruit-to-hire","Há vagas e competição por talentos","Recruiting organiza sourcing, seleção e ofertas","Contratações mais eficientes","Talent Acquisition","Cross-industry","sap_source_085","pt-BR"
"sap_successfactors_usecase_005_item","sap_successfactors","Onboard employees","Novos contratados precisam iniciar atividades","Onboarding coordena tarefas, documentos e integração","Entrada consistente e produtiva","HR","Cross-industry","sap_source_086","pt-BR"
"sap_successfactors_usecase_006_item","sap_successfactors","Set and review goals","Empresa precisa alinhar desempenho","Performance & Goals estrutura metas, feedback e avaliações","Mais alinhamento e transparência","Talent","Cross-industry","sap_source_087","pt-BR"
"sap_successfactors_usecase_007_item","sap_successfactors","Plan compensation","Líderes precisam distribuir remuneração","Compensation usa guidelines, dados e workflows","Decisões consistentes e governadas","Rewards","Cross-industry","sap_source_088","pt-BR"
"sap_successfactors_usecase_008_item","sap_successfactors","Compliance learning","Treinamentos obrigatórios precisam ser comprovados","Learning atribui cursos e acompanha certificações","Conformidade e rastreabilidade","Learning","Cross-industry","sap_source_089","pt-BR"
"sap_successfactors_usecase_009_item","sap_successfactors","Skills-based development","Empresa precisa mapear e desenvolver habilidades","Talent Intelligence Hub e Career Development conectam skills e oportunidades","Mobilidade e desenvolvimento direcionados","Talent","Cross-industry","sap_source_090","pt-BR"
"sap_successfactors_usecase_010_item","sap_successfactors","Workforce insights","Liderança precisa entender tendências de pessoas","People Analytics produz relatórios e análises","Decisões baseadas em dados","Analytics","Cross-industry","sap_source_091","pt-BR"
"sap_ariba_usecase_001_item","sap_ariba","Source-to-contract","Organização precisa contratar categorias","Sourcing seleciona fornecedores e Contracts governa acordos","Ciclos mais controlados","Strategic Procurement","Cross-industry","sap_source_102","pt-BR"
"sap_ariba_usecase_002_item","sap_ariba","Supplier onboarding","Novos fornecedores precisam ser avaliados","Supplier Management coleta e aprova informações","Base confiável","Supplier Management","Cross-industry","sap_source_104","pt-BR"
"sap_ariba_usecase_003_item","sap_ariba","Guided requisitioning","Colaboradores precisam comprar","Guided Buying orienta por políticas e catálogos","Mais conformidade","Procurement","Cross-industry","sap_source_105","pt-BR"
"sap_ariba_usecase_004_item","sap_ariba","Procure-to-pay","Compras precisam ir do pedido ao pagamento","Buying and Invoicing conecta requisição, pedido, recebimento e fatura","Processo automatizado","Procurement","Cross-industry","sap_source_105","pt-BR"
"sap_ariba_usecase_005_item","sap_ariba","Invoice reconciliation","AP recebe faturas com divergências","Invoicing valida e reconcilia documentos","Menos exceções","Accounts Payable","Cross-industry","sap_source_107","pt-BR"
"sap_ariba_usecase_006_item","sap_ariba","Spend visibility","Liderança não conhece o gasto total","Spend Analysis classifica e analisa dados","Oportunidades de economia","Analytics","Cross-industry","sap_source_108","pt-BR"
"sap_ariba_usecase_007_item","sap_ariba","Supplier collaboration","Comprador e fornecedor trocam documentos","Business Network transmite pedidos e faturas","Colaboração digital","Network","Cross-industry","sap_source_101","pt-BR"
"sap_ariba_usecase_008_item","sap_ariba","Services procurement","Empresa compra serviços","Ariba adapta requisição, pedido e folha de serviço","Controle de serviços","Procurement","Services","sap_source_109","pt-BR"
"sap_ariba_usecase_009_item","sap_ariba","Direct materials sourcing","Fabricante negocia materiais diretos","Add-on conecta especificações e fornecedores","Sourcing de materiais controlado","Sourcing","Manufacturing","sap_source_102","pt-BR"
"sap_ariba_usecase_010_item","sap_ariba","ERP-integrated procurement","Empresa usa SAP S/4HANA","Master e transações são integrados ao Ariba","Processo ponta a ponta","IT","Cross-industry","sap_source_112","pt-BR"
"sap_datasphere_usecase_001_item","sap_datasphere","Unified semantic layer","Empresa tem definições inconsistentes","Modelos semânticos harmonizam entidades e métricas","Dados compreensíveis e reutilizáveis","Data Management","Cross-industry","sap_source_115","pt-BR"
"sap_datasphere_usecase_002_item","sap_datasphere","SAP and non-SAP integration","Dados estão em fontes diversas","Connections e fluxos conectam ambientes","Visão integrada","Data Engineering","Cross-industry","sap_source_117","pt-BR"
"sap_datasphere_usecase_003_item","sap_datasphere","Business data fabric","Organização busca conectar dados com contexto","Datasphere sustenta arquitetura data fabric","Acesso governado e contextualizado","Data Strategy","Cross-industry","sap_source_116","pt-BR"
"sap_datasphere_usecase_004_item","sap_datasphere","Analytics foundation","Analistas precisam de modelos confiáveis","Modelos e data products são consumidos em analytics","Insights consistentes","Analytics","Cross-industry","sap_source_125","pt-BR"
"sap_datasphere_usecase_005_item","sap_datasphere","Data product sharing","Domínios precisam compartilhar dados","Publica data products com metadados","Reuso e governança","Data Governance","Cross-industry","sap_source_122","pt-BR"
"sap_datasphere_usecase_006_item","sap_datasphere","SAP BW modernization","Cliente moderniza data warehouse SAP","Migra e complementa cenários BW com Datasphere","Evolução gradual","IT","Cross-industry","sap_source_127","pt-BR"
"sap_datasphere_usecase_007_item","sap_datasphere","Real-time replication","Dados operacionais precisam ser atualizados","Replication flows carregam fontes conectadas","Dados atualizados","Data Engineering","Cross-industry","sap_source_120","pt-BR"
"sap_datasphere_usecase_008_item","sap_datasphere","Data preparation","Dados precisam de transformação","Data flows preparam e combinam fontes","Dados prontos para consumo","Data Engineering","Cross-industry","sap_source_119","pt-BR"
"sap_datasphere_usecase_009_item","sap_datasphere","AI context foundation","Agentes precisam de dados confiáveis","Semântica e data products preservam contexto","IA mais relevante","AI and Data","Cross-industry","sap_source_115","pt-BR"
"sap_datasphere_usecase_010_item","sap_datasphere","Self-service access","Usuários de negócio precisam localizar dados","Catálogo e espaços suportam descoberta controlada","Menos dependência de TI","Data Governance","Cross-industry","sap_source_116","pt-BR"
"sap_analytics_cloud_usecase_001_item","sap_analytics_cloud","Executive dashboards","Liderança precisa acompanhar KPIs","Stories consolidam indicadores e filtros","Visibilidade rápida","Management","Cross-industry","sap_source_131","pt-BR"
"sap_analytics_cloud_usecase_002_item","sap_analytics_cloud","Financial planning","Finanças precisa orçar e prever","Planejamento conecta dados, versões e simulações","Planos colaborativos","Finance","Cross-industry","sap_source_133","pt-BR"
"sap_analytics_cloud_usecase_003_item","sap_analytics_cloud","Supply chain planning","Operações precisa simular demanda e capacidade","Modelos de planejamento conectam análises e cenários","Decisões mais ágeis","Supply Chain","Cross-industry","sap_source_131","pt-BR"
"sap_analytics_cloud_usecase_004_item","sap_analytics_cloud","Predictive forecasting","Equipe precisa estimar resultados futuros","Recursos preditivos geram previsões sobre dados","Antecipação de tendências","Analytics","Cross-industry","sap_source_142","pt-BR"
"sap_analytics_cloud_usecase_005_item","sap_analytics_cloud","S/4HANA analytics","Usuários ERP precisam decisões contextualizadas","SAC consome dados e conteúdo para analytics","Insights sobre processos ERP","Finance","Cross-industry","sap_source_141","pt-BR"
"sap_analytics_cloud_usecase_006_item","sap_analytics_cloud","Self-service analytics","Analistas de negócio precisam criar análises","Stories e modelos reduzem dependência de desenvolvimento","Autonomia controlada","Analytics","Cross-industry","sap_source_132","pt-BR"
"sap_analytics_cloud_usecase_007_item","sap_analytics_cloud","Real-time live analysis","Dados devem permanecer na origem","Live connections analisam dados em tempo real","Menos replicação","IT","Cross-industry","sap_source_135","pt-BR"
"sap_analytics_cloud_usecase_008_item","sap_analytics_cloud","Collaborative planning","Várias áreas participam do plano","Calendários, comentários e versões estruturam o ciclo","Alinhamento organizacional","Planning","Cross-industry","sap_source_132","pt-BR"
"sap_analytics_cloud_usecase_009_item","sap_analytics_cloud","Embedded analytics","Aplicações precisam exibir informações no contexto","Stories e componentes são incorporados conforme cenário","Decisão no fluxo de trabalho","IT","Cross-industry","sap_source_131","pt-BR"
"sap_analytics_cloud_usecase_010_item","sap_analytics_cloud","Data-driven AI","Agentes precisam de dados confiáveis","BDC e SAC fornecem contexto para insights assistidos","IA mais relevante","AI and Data","Cross-industry","sap_source_140","pt-BR"
"sap_signavio_usecase_001_item","sap_signavio","Process discovery","Organização não possui visão padronizada","Process Manager documenta e modela processos","Visão compartilhada","Transformation","Cross-industry","sap_source_150","pt-BR"
"sap_signavio_usecase_002_item","sap_signavio","Process mining analysis","Empresa quer medir execução real","Process Intelligence analisa logs de eventos","Gargalos e desvios identificados","Operations","Cross-industry","sap_source_151","pt-BR"
"sap_signavio_usecase_003_item","sap_signavio","S/4HANA transformation","Cliente migra ou otimiza ERP","Modelos e mining orientam clean core e melhorias","Transformação baseada em dados","IT","Cross-industry","sap_source_149","pt-BR"
"sap_signavio_usecase_004_item","sap_signavio","Customer journey improvement","Empresa quer melhorar experiências","Journey Modeler mapeia etapas e pontos de contato","Jornadas mais consistentes","Customer Experience","Cross-industry","sap_source_149","pt-BR"
"sap_signavio_usecase_005_item","sap_signavio","Process governance","Mudanças precisam de aprovação","Governance organiza workflows e responsabilidades","Controle de mudanças","Governance","Cross-industry","sap_source_149","pt-BR"
"sap_signavio_usecase_006_item","sap_signavio","Process benchmarking","Liderança quer comparar performance","Analytics e benchmarks destacam oportunidades","Priorização de valor","Management","Cross-industry","sap_source_149","pt-BR"
"sap_signavio_usecase_007_item","sap_signavio","Text-to-process modeling","Especialistas descrevem processo em linguagem natural","IA gera rascunho BPMN para revisão","Modelagem inicial rápida","Transformation","Cross-industry","sap_source_153","pt-BR"
"sap_signavio_usecase_008_item","sap_signavio","Natural-language process insight","Usuários fazem perguntas sobre processos","Text to insight responde sobre dados de processo","Análise acessível","Operations","Cross-industry","sap_source_154","pt-BR"
"sap_signavio_usecase_009_item","sap_signavio","Change adoption","Novo processo exige adoção","Signavio e WalkMe conectam conteúdo e orientação","Maior adoção","Change Management","Cross-industry","sap_source_149","pt-BR"
"sap_signavio_usecase_010_item","sap_signavio","Value case creation","Transformação exige justificar investimento","Joule agents apoiam onboarding e value cases","Planejamento da transformação","Management","Cross-industry","sap_source_149","pt-BR"
"sap_business_network_usecase_001_item","sap_business_network","Supplier onboarding","Empresa precisa habilitar muitos fornecedores","Rede troca dados e acelera onboarding","Parceiros conectados","Procurement","Cross-industry","sap_source_160","pt-BR"
"sap_business_network_usecase_002_item","sap_business_network","Purchase order collaboration","Comprador e fornecedor precisam trocar pedidos e confirmações","Documentos transacionais circulam pela rede","Menos erros e atrasos","Procurement","Cross-industry","sap_source_163","pt-BR"
"sap_business_network_usecase_003_item","sap_business_network","Supply forecast collaboration","Empresa compartilha previsões com fornecedores","Fornecedores respondem e colaboram sobre forecast","Planejamento mais resiliente","Supply Chain","Manufacturing","sap_source_164","pt-BR"
"sap_business_network_usecase_004_item","sap_business_network","Freight visibility","Empresa quer monitorar transporte e exceções","Logistics coordena eventos e transportadores","Resposta rápida a desvios","Logistics","Cross-industry","sap_source_165","pt-BR"
"sap_business_network_usecase_005_item","sap_business_network","Asset maintenance collaboration","Fabricante, operador e prestador precisam alinhar manutenção","Asset Collaboration compartilha dados e planos","Maior uptime","Asset Management","Manufacturing","sap_source_161","pt-BR"
"sap_business_network_usecase_006_item","sap_business_network","E-invoicing","Empresa precisa atender mandatos fiscais","Rede apoia documentos e compliance","Menor risco regulatório","Finance","Cross-industry","sap_source_160","pt-BR"
"sap_business_network_usecase_007_item","sap_business_network","Partner discovery","Comprador quer encontrar novos fornecedores","Discovery conecta organizações e ofertas","Mais oportunidades","Sourcing","Cross-industry","sap_source_160","pt-BR"
"sap_business_network_usecase_008_item","sap_business_network","Supply chain exception management","Times precisam detectar impacto de exceções","Assistente e agentes analisam eventos e recomendam ações","Menor impacto operacional","Operations","Cross-industry","sap_source_170","pt-BR"
"sap_build_usecase_001_item","sap_build","Low-code app","Área de negócio precisa de um app simples","Build Apps cria UI e lógica visual","Entrega rápida","Business","Cross-industry","sap_source_174","pt-BR"
"sap_build_usecase_002_item","sap_build","Workflow approval","Processo exige aprovações e regras","Process Automation orquestra workflow e tarefas","Menos trabalho manual","Operations","Cross-industry","sap_source_175","pt-BR"
"sap_build_usecase_003_item","sap_build","Employee portal","Organização quer um hub de aplicações e conteúdo","Work Zone cria workspace personalizado","Acesso centralizado","Employee Experience","Cross-industry","sap_source_176","pt-BR"
"sap_build_usecase_004_item","sap_build","S/4HANA extension","ERP precisa de extensão clean core","Build Code desenvolve aplicação side-by-side","Extensão sustentável","IT","Cross-industry","sap_source_177","pt-BR"
"sap_build_usecase_005_item","sap_build","AI agent","Empresa quer agente especializado","Joule Studio cria skill ou agente contextual","Automação inteligente","AI","Cross-industry","sap_source_182","pt-BR"
"sap_build_usecase_006_item","sap_build","Developer acceleration","Time quer reduzir tarefas repetitivas","Joule gera código, testes e explicações","Maior produtividade","IT","Cross-industry","sap_source_183","pt-BR"
"sap_build_usecase_007_item","sap_build","Guided procedure","Usuário precisa executar processo multisistema","Guided experience orienta etapas","Menos erros","Operations","Cross-industry","sap_source_179","pt-BR"
