"deployment_id","product_id","deployment_model","availability_description","limitations","source_id","last_verified_at"
"sap_s4hana_sap_s_4hana_on_premise","sap_s4hana","SAP S/4HANA on-premise","Software instalado e operado pelo cliente ou provedor escolhido.","Cliente assume maior responsabilidade por infraestrutura, operações e upgrades.","sap_source_056","2026-08-19"
"sap_s4hana_hybrid_two_tier_erp","sap_s4hana","Hybrid / two-tier ERP","Combinação de edições ou sistemas centrais e subsidiárias conforme estratégia.","Exige governança de dados, processos e integrações entre landscapes.","sap_source_070","2026-08-19"
"sap_successfactors_deployment_001_item","sap_successfactors","Cloud SaaS","Suite entregue em nuvem pela SAP.","Disponibilidade varia por solução, região e contrato.","sap_source_080","2026-08-19"
"sap_successfactors_deployment_002_item","sap_successfactors","Standalone modules","Algumas soluções, como Learning, podem operar separadamente.","Integração e escopo dependem da contratação.","sap_source_089","2026-08-19"
"sap_successfactors_deployment_003_item","sap_successfactors","Integrated SAP landscape","Conecta-se a ERP, BTP e outras soluções SAP.","Exige configuração e governança de integrações.","sap_source_094","2026-08-19"
"sap_successfactors_deployment_004_item","sap_successfactors","30-day shared trial","Trial básico com dados de amostra e tours guiados.","Inglês, escopo reduzido, sem administração, integração ou Joule.","sap_source_097","2026-08-19"
"sap_ariba_deployment_001_item","sap_ariba","Cloud SaaS","Soluções provisionadas em sites Ariba pela SAP.","Disponibilidade depende de produto, região e contrato.","sap_source_114","2026-08-19"
"sap_ariba_deployment_002_item","sap_ariba","Production and test realms","Assinaturas normalmente incluem sites produtivo e teste conforme oferta.","Quantidades e uso dependem do plano.","sap_source_114","2026-08-19"
"sap_ariba_deployment_003_item","sap_ariba","Network-connected deployment","Buyer sites conectam-se a contas do SAP Business Network.","Requer onboarding e relacionamento com parceiros.","sap_source_101","2026-08-19"
"sap_datasphere_deployment_001_item","sap_datasphere","Cloud SaaS","SAP Datasphere é serviço cloud gerenciado.","Disponibilidade e recursos dependem de região, capacidade e contrato.","sap_source_117","2026-08-19"
"sap_datasphere_deployment_002_item","sap_datasphere","Hybrid connectivity","Conecta dados on-premise e cloud por conexões compatíveis.","Exige configuração de conectividade e fontes suportadas.","sap_source_118","2026-08-19"
"sap_datasphere_deployment_003_item","sap_datasphere","SAP Business Data Cloud capacity","Novas licenças são adquiridas via capacidade core do SAP Business Data Cloud.","Pré-requisitos e capacidade são definidos comercialmente.","sap_source_128","2026-08-19"
"sap_datasphere_deployment_004_item","sap_datasphere","30-day basic trial","Trial básico com exercícios guiados e dados de amostra.","Escopo limitado de avaliação.","sap_source_129","2026-08-19"
"sap_analytics_cloud_deployment_001_item","sap_analytics_cloud","Cloud SaaS","SAP Analytics Cloud é uma solução SaaS em nuvem.","Recursos podem variar por licença, tenant e região.","sap_source_132","2026-08-19"
"sap_analytics_cloud_deployment_002_item","sap_analytics_cloud","Live data connectivity","Conecta-se a fontes em tempo real sem copiar dados para SAC.","Requer conexões, fontes e configuração compatíveis.","sap_source_135","2026-08-19"
"sap_analytics_cloud_deployment_003_item","sap_analytics_cloud","SAP Business Data Cloud capacity","Licença atual pode ocorrer via capacidade core do BDC.","Pré-requisitos e contrato definem o acesso.","sap_source_146","2026-08-19"
"sap_analytics_cloud_deployment_004_item","sap_analytics_cloud","Basic trial","A SAP disponibiliza uma avaliação gratuita da solução.","Escopo e duração devem ser confirmados no cadastro da trial.","sap_source_147","2026-08-19"
"sap_signavio_deployment_001_item","sap_signavio","Cloud SaaS","SAP Signavio é fornecido como solução cloud.","Escopo e recursos variam por produto, licença e região.","sap_source_149","2026-08-19"
"sap_signavio_deployment_002_item","sap_signavio","Process data connections","Process mining requer dados de eventos de sistemas de origem.","Qualidade e disponibilidade de dados afetam análise.","sap_source_151","2026-08-19"
"sap_signavio_deployment_003_item","sap_signavio","Joule Base subscription","Recursos Joule requerem produto base e assinatura Joule Base conforme oferta.","Disponibilidade e pré-requisitos variam.","sap_source_157","2026-08-19"
"sap_signavio_deployment_004_item","sap_signavio","AI feature availability","Recursos como text to insight possuem condições próprias.","Condições podem mudar e preço é sob consulta.","sap_source_154","2026-08-19"
"sap_business_network_deployment_001_item","sap_business_network","Cloud SaaS","SAP Business Network é fornecido como serviço cloud.","Recursos e disponibilidade variam por solução, assinatura e região.","sap_source_160","2026-08-19"
"sap_business_network_deployment_002_item","sap_business_network","Trading partner onboarding","Cada organização e parceiro precisa configurar relacionamento e habilitação.","Pré-requisitos variam por cenário.","sap_source_163","2026-08-19"
"sap_business_network_deployment_003_item","sap_business_network","SAP BTP foundation","A plataforma SAP BTP sustenta conectividade e extensibilidade em evolução.","Arquitetura e serviços dependem do cenário.","sap_source_171","2026-08-19"
"sap_business_network_deployment_004_item","sap_business_network","Regional e-invoicing","Mandatos fiscais e cobertura variam por país.","Confirmar requisitos locais.","sap_source_160","2026-08-19"
"sap_build_deployment_001_item","sap_build","Cloud service","SAP Build é ofertado como serviço cloud na SAP BTP.","Recursos e edições variam.","sap_source_173","2026-08-19"
"sap_build_deployment_002_item","sap_build","SAP Business Suite entitlement","A oferta unificada SAP Build é incluída como parte da SAP Business Suite conforme a SAP.","Confirmar entitlement e escopo contratual.","sap_source_173","2026-08-19"
"sap_build_deployment_003_item","sap_build","Trial","Há trial básico de 30 dias para explorar Build.","Trial tem limites e não substitui contrato produtivo.","sap_source_185","2026-08-19"
"sap_build_deployment_004_item","sap_build","AI availability","Joule, Joule Studio e recursos de IA dependem de ativação, termos e edição.","Condições evoluem.","sap_source_183","2026-08-19"
